"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,一德里,1422,1014936,20732,10865,831366,41011,11130,2318,982,84080,0,12042,0,410,645805,833935,482
,仁愛里,1433,1132285,26422,17395,947196,35707,16349,3017,1587,70974,1449,10395,0,1794,754938,941314,322
,仁義里,696,457447,9300,4571,394735,17917,3716,447,967,20878,235,4506,0,175,306552,369867,37
,仁武里,901,697502,16948,13209,576243,25958,8461,1734,617,38208,444,14371,0,1309,460819,582078,186
,光明里,658,508975,8038,4834,428633,22864,2756,1301,616,32669,240,5538,0,1486,339998,422576,227
,三元里,885,769246,7281,5583,642112,45338,3527,1331,1158,48564,186,13640,0,525,524996,653906,426
,田心里,1353,1012649,26898,12646,826740,50272,12142,1926,811,71285,1110,7696,98,1024,655357,843413,819
,仁文里,994,651250,13757,12838,557922,23978,3270,2199,743,29329,71,6787,0,357,432595,528585,400
,仁和里,1298,1084486,38260,14612,868269,39419,9431,4516,1243,97281,276,10193,0,986,695426,913239,456
,其　他,4,1825,0,0,1777,46,0,0,1,0,0,1,0,0,1311,1359,0
,合　計,21558,17560413,411601,247641,13360428,714852,248740,60741,18098,2222219,12722,231203,1242,30927,10599208,14830649,12008
中壢區,後寮里,1453,1215754,17763,19241,1018141,40837,14376,5198,1137,77537,1244,16685,0,3596,826265,1023877,321
,石頭里,601,629663,16808,21713,334127,47115,88533,2034,258,97862,0,3293,126,17794,280063,575472,1185
,新興里,1278,1154584,18923,24881,928227,53637,14116,6739,1238,92698,189,12204,0,1733,763312,989669,530
,仁美里,1823,1589397,20931,26005,1354407,57262,9226,3585,1986,98454,808,12653,265,3816,1116313,1351435,1315
,普仁里,1262,1077119,19858,36384,843442,46061,28542,3447,948,78049,415,12332,40,7601,688994,922672,814
,普義里,1363,1309771,10703,10544,1101057,56592,10358,3890,1309,94683,226,18090,218,2101,923650,1132276,1828
,內壢里,646,534517,9184,5656,437568,26165,3735,1702,1017,42109,395,4686,93,2207,357978,454926,497
,內定里,2146,1805714,26411,12053,1397267,54830,60031,4567,2232,229267,778,15622,45,2611,1102963,1511421,640
,水尾里,1132,1218682,27871,14270,817993,48483,18404,16683,726,260895,484,7882,5,4987,671258,1072856,417
