"表166-V(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 東 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,702,449508,4316,1757,433362,5530,1736,282,304,624,91,971,0,535,336085,352230,31
達仁鄉,土坂村,135,87409,1054,457,84208,826,65,0,78,162,138,377,0,44,65364,68565,13
,臺坂村,74,41633,844,61,39868,595,81,0,26,64,0,93,0,0,30005,31771,6
,新化村,43,29103,3550,50,24456,484,8,0,12,84,0,460,0,0,18725,23372,0
,安朔村,116,89161,680,27,82847,3392,58,219,164,1135,0,523,0,116,66423,72737,124
,森永村,85,55347,2393,116,47476,2115,351,221,18,864,40,1686,0,65,36366,44237,2
,南田村,55,37879,1499,181,31765,872,649,0,70,2655,0,187,0,0,24331,30445,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,508,340532,10021,892,310621,8284,1212,440,368,4965,179,3326,0,225,241215,271126,145
金峰鄉,嘉蘭村,172,114080,2041,1000,106861,2101,187,0,54,608,104,852,0,272,82699,89918,3
,歷坵村,29,18585,52,35,15127,649,27,0,5,2473,0,217,0,0,11667,15124,0
,新興村,101,78188,1276,459,74477,1609,52,4,22,65,51,173,0,0,59934,63644,41
,賓茂村,60,44674,928,748,41577,794,455,0,5,81,0,85,0,0,32939,36036,10
,正興村,102,86576,2657,3334,77309,2469,105,0,35,309,0,340,0,19,63882,73148,7
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,464,342102,6953,5577,315353,7622,826,4,121,3535,155,1667,0,290,251121,277870,62
蘭嶼鄉,紅頭村,257,204773,2532,377,192048,3929,1577,138,145,3269,0,613,145,0,157566,170292,484
,東清村,188,113619,861,945,107474,1834,115,0,96,1554,0,590,0,149,83181,89326,104
,朗島村,111,68173,945,12,65334,1005,335,66,23,208,10,237,0,0,51065,53906,60
,椰油村,172,134956,4988,116,122820,2568,919,60,44,2968,0,468,0,5,99257,111393,24
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,728,521521,9325,1450,487676,9335,2946,264,309,8000,10,1909,145,154,391069,424915,672
其　他,其　他,12,14442,0,2141,10730,774,6,110,20,619,0,28,0,14,9161,12873,0
,合　計,12,14442,0,2141,10730,774,6,110,20,619,0,28,0,14,9161,12873,0
