"表166-C(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：基 隆 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,誠仁里,327,216491,3127,7318,177637,5819,2282,624,143,13434,422,801,0,4882,140621,179475,26
,林泉里,522,386338,5404,4524,326590,17882,1631,1511,294,21083,8,3467,1831,2114,262446,322194,2871
,育仁里,205,127445,2045,2102,106750,8352,753,108,51,6249,0,359,0,675,83594,104288,147
,吉仁里,782,499165,7248,7688,429352,17731,4783,626,715,26350,18,4337,0,318,338007,407820,372
,博愛里,527,426878,10186,7643,264609,33283,44412,870,267,58666,13,3920,0,3010,212939,375211,29
,福仁里,226,148032,7155,4425,107715,7702,5529,303,125,12435,0,1242,0,1400,83231,123548,24
,智仁里,862,817213,12303,12150,634838,49756,18845,2422,727,74021,2523,6956,442,2228,530111,712360,1959
"表166-C(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：基 隆 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,曲水里,248,194678,2866,1337,166025,9012,2231,2455,144,8115,0,2492,0,0,135547,164200,231
,德厚里,564,446648,6240,14491,387130,13558,1893,297,323,17715,334,4241,12,414,313391,372898,207
,英仁里,361,229433,3122,1721,201654,9130,2840,374,220,8535,26,1148,0,662,160072,187851,41
,龍門里,224,142409,7888,2134,121753,3317,1089,134,313,4220,0,931,257,374,95098,115754,549
,花崗里,364,291835,7328,6371,237746,15552,3226,1344,145,17304,0,1901,0,919,195340,249430,271
,同風里,187,122353,4201,956,83101,8546,6776,136,68,17310,0,548,252,459,65939,105192,605
,虹橋里,516,479996,6791,7832,364493,25449,7438,1862,610,58146,19,6721,0,634,300923,416425,108
,書院里,285,192491,5325,3200,158601,7477,787,147,235,15017,947,651,0,105,125787,159676,288
,獅球里,263,191856,5128,6250,160882,9300,970,98,269,7352,0,1156,0,450,129370,160344,70
,忠勇里,315,272010,5177,6406,207317,14564,16848,1275,623,15003,0,3519,0,1278,172739,237754,288
,文安里,228,137038,4360,832,102127,7536,8619,143,120,10794,1241,941,0,325,80558,115469,202
,明德里,201,143349,3329,3962,111924,7194,3783,236,84,10289,0,1082,0,1465,90844,122268,38
,兆連里,185,130609,2462,1142,108131,5490,2044,428,115,7154,0,3263,0,378,86843,109320,0
,崇文里,275,190019,5368,1283,151522,10873,7921,328,131,11701,0,799,0,93,122050,160547,59
,朝棟里,853,628841,9259,13315,535944,26857,3671,823,599,30921,660,4652,735,1405,433815,526712,1414
,光華里,764,575527,9128,12409,462742,34942,7861,684,407,40975,4,4395,9,1971,374797,487582,511
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,11830,9345362,188787,186417,7140331,494346,393775,25113,8676,768630,7295,89982,3688,38322,5804139,8009298,11418
中山區,安平里,236,164179,1965,5743,134181,8456,1787,1079,216,7380,0,1136,0,2235,107277,137275,142
,安民里,341,237800,4519,6334,188211,13375,7202,50,156,14989,36,2126,0,803,151000,200589,63
,新建里,234,177209,2940,3990,139868,10201,1194,127,93,16963,0,1136,0,697,112984,150325,187
,中山里,295,198396,6673,3778,166224,8429,1534,466,256,9826,4,825,0,383,130025,162203,47
,民治里,261,161668,1977,1514,140284,6784,1218,785,130,7984,0,700,0,293,110626,132011,77
,中興里,418,316440,3613,3345,267980,9210,2866,321,573,18997,0,4047,396,5092,216874,265183,919
,仁正里,240,165443,2282,1728,143151,5899,309,322,123,10007,0,1180,0,442,112498,135001,29
,健民里,312,204236,3458,3070,180136,6448,1194,134,175,8694,0,790,0,136,141286,165386,28
,通化里,292,191348,1976,1485,159264,10174,3327,163,151,13589,106,1053,0,60,125293,157378,7
,居仁里,378,259075,1559,2590,222604,10459,765,449,137,18792,0,961,0,761,176066,212538,100
,通明里,507,353427,5190,2847,315252,14245,1298,590,261,10979,555,1737,0,474,253285,291460,377
,協和里,475,362757,7582,3126,315525,13119,2442,237,178,16882,133,3212,14,307,255951,303182,588
,文化里,282,198099,3915,2159,170147,9047,1500,366,130,9132,0,1529,35,138,136014,163965,413
,和平里,146,120836,163,1368,110380,3782,450,65,26,3865,0,736,0,0,91003,101459,293
,仙洞里,166,115071,637,726,99621,2805,589,166,83,9295,0,701,0,447,79256,94705,209
,太白里,256,179056,2301,1185,156805,6497,663,168,670,8953,0,1600,0,215,124200,146451,29
,西榮里,191,127062,5037,6703,93904,5722,2322,335,102,11733,0,794,0,410,73218,106396,3
,西華里,293,207038,2697,6022,171873,12701,1334,88,181,8842,0,2984,290,26,138628,173685,698
,西定里,256,170179,2322,2648,146801,5118,2678,28,149,8683,0,892,0,859,117434,140811,39
,西康里,400,257031,5478,5143,220568,7358,3651,742,216,11777,0,1121,0,976,172119,208582,8
,德和里,2028,1789220,32403,15630,1496646,78906,16898,4250,1764,123068,1403,16057,96,2100,1234384,1526895,949
"表166-C(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：基 隆 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,德安里,1255,1014577,17405,11260,875640,34851,4489,1771,1000,60593,1226,5759,126,457,706861,845672,1300
,中和里,1816,1393014,25944,11985,1180924,41965,6585,3826,1176,98752,2486,16377,247,2747,946102,1158204,1290
,和慶里,1873,1247342,21141,16155,1120891,27746,6092,1092,1092,38574,165,11824,0,2570,873057,999520,297
,其　他,4,1202,0,0,796,33,0,0,0,366,0,6,0,0,569,974,0
,合　計,12955,9611706,163177,120535,8217676,353330,72389,17619,9039,548716,6114,79281,1204,22628,6586007,7979849,8092
安樂區,嘉仁里,1040,699868,11005,6764,600141,26159,8334,6585,656,32008,0,7681,0,536,473769,573497,471
,樂一里,158,95400,2491,248,81098,4798,292,108,58,2602,0,3596,0,107,63636,77937,4
,定國里,302,209652,1626,1139,189020,8270,1470,230,190,5770,2,1249,67,620,151191,171823,285
,安和里,286,217971,4990,1552,167713,19157,4416,220,209,13877,0,5562,0,276,135049,185307,149
,定邦里,345,237595,4215,1704,200854,12275,2449,816,229,11404,0,3516,0,134,161340,198080,169
,永康里,598,411086,7985,4486,357762,15928,3534,521,472,14982,132,4319,47,919,284690,338162,825
,慈仁里,293,189545,3425,1924,166526,6334,1714,127,225,7812,0,1420,0,38,129171,152190,9
,干城里,585,360816,9008,2384,321800,11054,1313,561,287,9052,1758,2763,0,837,249497,288513,40
,外寮里,1279,968331,22878,7758,836183,32679,5938,1864,898,48979,622,9045,0,1487,667338,799486,1007
,中崙里,531,548101,6539,9650,356221,13096,5023,1169,375,151934,5,3651,0,439,289722,481601,156
,內寮里,1769,1450217,19946,16897,1221452,40888,22640,6743,2372,101505,3104,10681,15,3974,989342,1218405,1716
,西川里,341,206804,4276,1283,181773,8846,538,95,174,8777,0,1042,0,0,139822,164852,262
,新西里,386,256154,2189,3759,217296,8271,2515,251,297,17396,419,3384,0,376,169709,208567,278
,新崙里,1322,1035301,16144,16026,901870,32488,8020,2201,735,45973,475,7971,180,3219,728631,862310,802
,鶯歌里,1059,1005477,11111,11241,820800,57190,20099,8909,711,65131,2037,7842,75,331,692315,876992,1002
,三民里,897,613389,4751,4982,535117,25154,3163,892,895,30214,355,7367,0,498,426092,504363,263
,四維里,1883,1626817,17558,11368,1409177,61695,7582,4041,1511,91702,1237,16977,122,3847,1159163,1376686,1605
,五福里,1216,884171,6268,7154,752740,39599,6449,2158,883,59230,124,8450,208,909,601764,733195,1034
,六合里,1439,1191411,8676,15732,1003596,51217,10940,2111,1408,86806,1446,8363,655,460,820613,1008270,2655
,七賢里,921,693740,7425,10428,586012,31250,4745,2349,684,42981,2334,5023,0,509,474090,581817,284
,長樂里,1283,1563121,19237,32369,1153385,62123,15659,5804,1086,117431,2720,145640,305,7362,980645,1390381,1620
,武崙里,1560,1384535,20587,20365,1202849,41077,9894,3844,1230,61485,824,19752,56,2570,993020,1174706,1048
,興寮里,1512,1202581,18060,11481,1066749,28796,6285,2219,1520,50071,1780,14540,355,723,862872,998712,1736
,鶯安里,1142,1118434,13559,26132,948095,39229,11738,1801,822,69518,435,6753,0,352,796511,966850,1147
,壯觀里,1576,1565325,14338,25155,1368336,43805,8205,4043,2351,81588,712,14233,248,2312,1146471,1343387,2577
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,23723,19735839,258286,251979,16646566,721376,172955,59665,20278,1228226,20519,320818,2334,32837,13586461,16676089,21145
信義區,仁壽里,436,413073,6347,8614,295539,27453,17676,1772,257,49428,1669,3303,126,890,247497,365032,507
,仁義里,516,483933,5338,16129,367622,35248,7044,1234,313,44773,947,4893,0,391,307410,423722,805
,義幸里,861,710312,13020,10774,559278,50972,12418,1298,556,53932,15,5098,91,2861,465011,616045,570
