"表166-O(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,海山里,690,544683,15138,6550,459911,16531,3778,945,687,32591,2,6847,172,1531,370847,455608,820
,鹽水里,449,359217,5172,1308,296300,10174,3284,673,317,35977,0,5126,0,886,237241,300158,5
,南港里,248,186181,8653,5368,145192,5683,1461,116,82,18236,387,941,0,62,113782,154771,35
,內湖里,1377,1187659,31669,7632,983514,37870,9605,1138,1269,97249,301,16860,0,552,800684,1005162,393
,中隘里,556,511823,16740,2411,420485,12080,6378,502,687,36922,2014,12117,1,1487,345788,438256,588
,南隘里,280,259254,2945,4299,213713,8514,2602,492,181,17333,156,8050,0,969,176382,221923,183
,大湖里,279,207026,7944,1549,169893,7018,2425,528,353,13423,28,3042,0,823,132217,169349,11
,茄苳里,252,197526,9102,2496,144693,7213,3975,171,275,26105,208,2865,0,424,113850,166683,118
,頂福里,1431,1553291,22009,14934,1291125,50283,11981,2386,2481,123241,850,31922,0,2078,1092135,1354277,552
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,21831,20619600,484469,176819,16622128,642514,221822,44600,26978,1989470,18736,336341,1661,54061,13705008,17705919,11254
其　他,其　他,28,31744,839,462,27493,1168,274,31,5,1137,0,281,0,55,24361,28612,0
,合　計,28,31744,839,462,27493,1168,274,31,5,1137,0,281,0,55,24361,28612,0
