"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,共和村,161,103385,2632,1307,83832,4552,1370,153,47,7484,23,1984,0,0,66894,86447,53
,埤子村,88,56620,1393,1834,47460,1103,318,19,12,2714,0,1767,0,0,37620,46780,3
,南崙村,130,95673,2461,221,85700,2358,216,141,51,2128,0,967,683,746,69488,79461,1167
,北崙村,74,43520,1497,38,35758,3448,157,181,11,2225,0,206,0,0,27154,34916,3
,海瀛村,78,49813,2579,610,41374,2053,14,267,12,2201,0,705,0,0,32354,40794,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5716,4226971,127467,60309,3381168,198873,33820,7306,3128,341717,1852,64976,1263,5093,2709471,3555148,4062
六腳鄉,蒜東村,173,117795,1258,4972,95642,5046,807,322,34,7871,611,1180,0,53,75618,97772,190
,蒜南村,188,134437,10267,1346,103369,7125,1029,0,47,10052,0,1202,0,0,82531,113598,148
,蒜頭村,314,218815,7288,3044,163349,17791,1314,254,358,23848,134,1289,0,146,130795,186261,125
,工廠村,60,52327,276,15,42848,2582,28,36,13,5201,686,628,0,15,35841,45321,4
,灣南村,225,164591,4516,1680,133582,6561,1114,264,168,15275,0,1081,0,351,107706,138715,11
,灣北村,211,141829,4249,3061,116010,6892,863,364,110,8909,0,1144,172,56,91127,116946,430
,雙涵村,142,100504,2165,325,86776,5760,1867,0,89,2403,0,1119,0,0,69423,83151,25
,塗師村,118,73024,3405,533,53223,4186,264,0,23,10039,22,1329,0,0,39286,59087,0
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,三義村,114,73556,4662,113,57926,2218,827,39,49,7519,0,203,0,0,45225,60855,15
,港美村,160,101553,5741,1168,77520,5617,1190,0,31,9766,0,521,0,0,60356,84389,75
,豐美村,207,137280,7282,563,105533,5356,961,73,113,16303,0,961,0,134,81472,113218,90
,六斗村,190,126181,3212,318,104046,8250,877,335,37,6931,0,2063,0,112,82698,104834,2
,崙陽村,237,169016,2858,1616,141955,8049,553,0,118,10617,385,2015,90,760,113811,140872,336
,蘇厝村,330,218694,9296,485,175416,12580,2075,74,224,16205,5,1546,0,788,140121,183398,69
,竹本村,102,55115,2058,864,41593,4808,278,271,20,4882,0,321,0,20,31900,45422,99
,永賢村,70,46183,1204,210,39088,2926,1147,20,25,1253,0,306,0,4,31543,38638,0
,魚寮村,101,64382,389,69,55369,3269,140,59,36,4720,0,309,0,22,44501,53515,0
,潭墘村,162,113957,5057,2042,91956,4984,530,68,104,8258,0,944,0,14,71853,94247,2
,正義村,251,163624,6225,323,137186,8642,857,20,137,8594,166,1471,0,0,108497,134935,42
,溪厝村,118,69319,607,923,53747,3294,3491,60,62,6033,0,450,0,652,40912,56484,3
