"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,平和村,119,64631,378,102,63140,116,0,0,1,351,81,461,0,2,46622,48113,3
,萬安村,151,102799,559,328,97023,2495,30,0,343,418,26,1578,0,0,75948,81724,93
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,759,490216,4652,3319,460475,10103,706,226,843,5361,107,4389,0,34,359110,388851,120
來義鄉,丹林村,173,110346,3069,581,99184,4146,356,25,40,2222,216,500,0,6,77907,89069,39
,來義村,196,103898,1176,129,97014,1891,233,349,58,2743,0,289,0,17,72177,79061,5
,古樓村,223,129290,1126,247,122091,3488,232,0,234,1478,79,315,0,0,93089,100289,20
,望嘉村,188,122220,1157,1430,116173,2652,30,0,39,84,170,435,0,50,92301,98349,23
,文樂村,167,111890,495,9280,99371,2060,26,0,74,103,0,386,0,94,77941,90459,189
,義林村,119,72246,675,122,68710,1821,121,0,61,244,0,481,0,11,52985,56521,93
,南和村,214,130720,3167,338,121832,3497,9,64,34,772,0,1004,0,3,95972,104860,53
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1280,780610,10865,12129,724375,19554,1008,438,540,7645,465,3410,0,181,562372,618608,421
春日鄉,春日村,125,82287,670,759,74835,4359,168,0,3,209,0,1242,0,42,60368,67820,17
,古華村,99,52939,1066,129,51096,358,44,0,14,52,0,133,0,48,38594,40436,0
,士文村,27,17834,54,0,17284,266,0,0,30,82,0,117,0,0,13481,14031,0
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,力里村,80,42148,795,204,40506,422,3,0,12,41,0,153,0,12,29650,31292,0
,七佳村,176,104757,1377,2445,97342,2179,372,0,67,460,33,383,0,98,74749,82164,0
,歸崇村,102,60881,71,950,57318,1832,241,104,6,130,28,84,0,117,44546,48110,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,609,360846,4034,4486,338382,9416,828,104,131,974,62,2112,0,317,261389,283853,17
獅子鄉,楓林村,141,98574,1222,1235,91673,2339,1014,8,180,163,0,701,0,40,71947,78848,57
,丹路村,127,87890,1711,1208,78617,5152,491,78,19,72,0,543,0,0,62038,71311,0
,草埔村,151,97951,1957,874,87059,4072,1976,133,18,687,181,823,0,171,68210,79102,37
,內文村,37,19677,30,43,18451,838,0,0,0,3,0,84,0,227,14065,15290,0
,竹坑村,46,31366,0,174,30106,911,76,16,1,23,0,58,0,0,22990,24249,9
,獅子村,49,34375,2450,202,29568,390,2,0,23,134,603,1000,0,5,23000,27808,11
,內獅村,86,53999,614,395,51889,592,352,13,4,9,0,130,0,0,40541,42651,3
,南世村,67,44068,190,79,42594,929,78,0,15,66,0,115,0,1,33732,35206,9
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,704,467900,8174,4210,429957,15224,3989,249,260,1157,783,3454,0,444,336522,374466,126
牡丹鄉,石門村,297,217330,2462,2184,200375,8368,1416,0,241,1404,29,852,0,0,159861,176816,72
,牡丹村,128,89455,2028,89,82218,3926,472,64,44,245,0,364,0,5,64514,71751,16
,東源村,66,40353,687,173,38912,431,0,8,22,2,0,116,0,0,30244,31684,0
,旭海村,61,43062,785,38,37926,1757,1126,0,2,558,0,870,0,0,29623,34759,7
,高士村,114,75785,2225,1224,69099,867,40,59,0,2119,0,150,0,0,52659,59344,13
,四林村,72,44260,308,466,39417,931,0,0,110,430,0,2482,0,116,29808,33394,15
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,738,510243,8495,4173,467948,16280,3055,131,419,4759,29,4834,0,120,366709,407748,123
其　他,其　他,19,14714,434,1102,11502,633,8,0,19,908,0,107,0,0,9472,12685,0
,合　計,19,14714,434,1102,11502,633,8,0,19,908,0,107,0,0,9472,12685,0
