"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,上村村,159,146635,3550,1023,80902,3361,2067,0,174,47662,0,1887,0,6009,63138,128870,0
,厦南村,287,191523,12868,1029,155380,6195,1825,487,120,10760,18,2837,0,4,121334,157478,128
,厦北村,323,209892,9361,1512,176397,8403,1058,98,112,10562,143,2236,0,10,137994,171489,1
,新庄村,487,358824,9965,3842,300280,16993,997,162,134,21625,0,4700,0,128,241295,299840,53
,新鐘村,465,327364,5628,3497,284541,13030,1934,398,222,15756,0,2040,0,319,226559,269381,43
,水泉村,417,336359,12129,6078,279880,12674,3022,328,238,18984,56,2817,34,119,228236,284715,332
,香社村,336,239951,10836,1691,192637,8930,2295,159,214,18331,1348,3495,0,17,153537,200852,232
,灣內村,267,178841,10598,5441,146670,5493,706,456,159,7658,0,1606,0,52,114805,146976,208
,後村村,226,147777,2474,2651,123313,5080,702,186,89,11229,50,1971,0,32,95166,119630,7
,水仙村,108,77341,1698,45,62759,2924,157,73,66,8995,0,624,0,0,49165,63747,7
,興安村,168,117282,2818,525,102263,4110,147,195,171,5650,72,1146,0,186,80367,95385,100
,興全村,211,148535,6539,706,119623,6618,957,262,106,12600,0,745,249,131,94701,123614,786
,甘棠村,58,34733,333,18,31359,761,1,0,10,1604,0,455,0,192,24289,27663,4
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,9611,6913499,258979,97998,5576426,272488,60513,12285,4957,537158,7432,71539,344,13379,4422298,5759316,3853
長治鄉,進興村,659,491620,13758,5024,420880,27786,2637,192,261,16328,14,4475,0,268,339553,410942,108
,新潭村,958,742998,8625,14874,645234,31594,5151,1082,688,26832,1927,5323,0,1668,523039,621019,464
,長興村,282,226864,3392,982,185643,11876,5385,395,251,17529,79,1276,0,56,151309,192531,156
,潭頭村,526,440264,11299,8071,370853,18556,3968,1442,355,18144,1163,4539,0,1874,302040,371450,493
,香楊村,705,623731,9912,10078,537443,25895,3316,1229,374,27355,249,6498,131,1251,445922,532446,1176
,德協村,244,181379,5125,1633,140104,10815,2018,3603,88,13955,1324,2714,0,0,110799,152074,78
