"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鹿港鎮,詔安里,584,336449,23405,3005,230170,11421,4131,183,230,60683,0,2680,0,542,159581,265859,32
,洋厝里,648,455236,37244,1867,315062,17452,5209,440,301,75300,0,1895,0,466,233043,373218,38
,海埔里,1015,620984,36590,4697,459774,20999,12087,427,746,79755,62,5083,0,764,340701,501911,139
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,山崙里,788,505812,44756,3351,344139,14933,7163,1551,334,83204,0,4528,0,1853,254597,413467,11
,頭南里,628,2079061,18749,2412,303992,17187,8813,308,423,1720117,0,6565,0,496,229128,2004197,15
,草中里,948,631630,42630,7472,441996,26937,6019,236,512,98817,0,6025,0,985,326735,516369,69
,廖厝里,1299,888549,65402,7266,575875,28200,13165,763,688,183292,106,13338,0,454,415845,728519,313
,溝墘里,1387,1396707,68948,11368,598380,39018,13063,1888,1350,651997,1274,8991,18,412,427952,1226278,255
,頭崙里,835,599721,50482,2142,336381,16793,8280,526,911,177041,222,4436,156,2350,235088,498316,632
,東石里,1273,965040,30962,7077,686641,30077,6294,696,467,193921,45,7039,0,1821,530325,808724,109
,頂番里,1230,896550,71759,6058,548870,32418,15280,1027,674,213645,21,5614,100,1083,393867,741547,436
,郭厝里,134,90667,1308,689,77697,3903,1669,50,122,4682,0,456,0,89,61157,74127,7
,玉順里,341,237382,5312,7976,172838,11637,2573,92,1215,31667,0,2876,674,520,134192,198689,1190
,新宮里,239,145855,2496,1179,97138,17608,3234,1362,89,19922,0,1837,0,992,74433,123151,6
,順興里,261,187146,4564,6663,132396,15287,4602,232,210,19815,0,3066,0,311,102872,157622,124
,中興里,176,124891,4753,7852,60518,13156,10903,1002,72,25810,0,362,0,463,45913,110286,13
,景福里,385,300660,6042,9347,208534,25638,8473,592,310,39257,248,1633,0,586,167770,259895,359
,興化里,173,125253,5216,3882,86803,11341,3312,259,126,12915,0,937,0,462,67992,106442,110
,洛津里,234,160990,9185,5857,112375,9911,5092,128,122,15917,0,1242,0,1160,88066,136681,186
,街尾里,701,607298,8122,13634,393410,34532,9059,539,601,95934,0,4381,0,47087,310876,525088,373
,泰興里,435,539224,21746,11488,246138,31516,12757,743,451,183032,3042,1577,0,26733,200840,493925,270
,埔崙里,1532,1129668,36467,15099,876423,36772,5176,1063,1360,146426,670,6965,1,3244,678747,931999,870
,菜園里,300,193946,5623,5590,151501,11635,1800,167,225,16432,152,689,0,132,118124,160569,76
,長興里,92,90041,2171,1122,37109,8731,5518,0,31,19872,0,2365,0,13122,28872,81804,5
,東崎里,1426,945780,53916,11801,710228,27002,10625,742,1016,117845,0,9824,0,2781,527375,762927,344
,龍山里,225,163314,4321,5277,108441,13599,4392,357,32,23309,0,3436,0,150,84480,139353,37
,頂厝里,2450,2001240,57271,16693,1339559,77316,37837,1674,1562,449644,155,15924,431,3175,1039087,1700591,1557
,大有里,353,390967,8734,4500,190821,13905,7814,136,168,161914,779,1694,0,502,150602,350748,114
