"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,湖南里,5868,7100491,52645,135949,5511739,210821,118146,72201,10469,778341,26269,140461,1250,42201,4736605,6328907,12111
,南勢里,5338,7431607,52723,115908,5662061,227744,113106,107917,13037,902677,8277,155913,1620,70623,4943375,6719406,12485
,頂福里,303,223815,4166,2161,149294,7592,20254,0,105,35452,0,4088,0,702,108548,185960,14
,下福里,391,297379,7036,1765,207094,8097,16866,850,315,50809,0,3747,0,800,152344,246552,12
,嘉寶里,233,175220,4630,593,131519,6482,4795,1031,189,24158,0,1299,37,486,100397,145210,232
,瑞平里,203,142551,1156,1581,109470,6119,3623,522,96,19364,0,610,0,11,80768,116413,2
,太平里,396,262298,5206,1937,204456,12458,13841,2153,3226,13297,0,5224,0,500,141182,213595,22
,中湖里,1028,941202,23720,9396,699022,34659,22884,5411,1915,132437,0,9166,0,2593,557838,808346,213
,東勢里,1863,1895822,16735,25672,1404780,65458,34999,10260,2827,305048,2657,24761,244,2380,1159851,1653896,2307
,仁愛里,2079,2715174,23273,40345,2039307,90231,44385,15060,2690,398970,526,53934,1479,4974,1757195,2435165,6309
,麗林里,2545,3061499,30297,46056,2448680,89327,53323,15830,2898,318368,1274,46800,992,7654,2083313,2701367,5458
,麗園里,1220,1287945,14177,11902,887786,46001,35757,6352,1812,259429,8222,13972,98,2437,731604,1133383,916
,其　他,1,2003,0,0,486,5,0,0,0,1512,0,0,0,0,270,1787,0
,合　計,28877,32842518,350057,508963,24733874,1083130,695969,285346,46782,4354725,50930,549157,7129,176453,20851077,29047165,48593
五股區,興珍里,1643,1571346,32663,4808,750167,61389,82130,6051,1042,614200,0,14129,0,4768,563100,1384279,536
,更寮里,343,222651,6893,1451,152826,13193,16432,241,191,28879,219,1473,224,626,113045,183031,778
,集福里,1023,719870,12960,10720,588749,19829,10090,2264,500,68233,0,4980,215,1329,459634,590600,1280
,觀音里,293,197459,4591,1316,137595,11257,10059,186,47,30693,0,920,0,796,104018,163883,356
,成州里,1433,949458,21836,8903,774659,30374,16079,3238,956,81886,0,9573,0,1954,593362,768161,131
,五股里,1125,843875,15878,9269,591878,44124,49441,1713,673,118949,557,8630,236,2527,459568,711565,1000
,五龍里,388,275730,7390,2821,170088,14926,15716,1070,190,58151,0,3084,0,2294,126099,231741,21
,德音里,1561,2443896,20386,17229,1077959,70160,40348,7552,968,1188711,171,12762,210,7440,872505,2238892,1233
,貿商里,772,613227,7937,7284,507177,26814,1983,2073,949,48768,147,9697,126,271,409624,515549,558
,陸一里,478,356378,1182,4827,301903,19379,1670,2314,376,17932,700,5205,0,892,241519,295994,452
,成功里,1499,1026591,32876,16376,823734,24539,10132,2871,1597,101619,516,9981,0,2349,630154,834555,544
,五福里,1043,666111,17864,6832,555517,23678,8255,1562,446,44450,69,6126,0,1311,423693,534287,350
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,成德里,729,480829,6224,7698,349465,24814,16564,1149,427,66802,0,6097,117,1471,265717,397055,400
,德泰里,1243,1862124,22533,16517,841634,58059,12544,1601,1235,898359,0,5969,1298,2375,672169,1692182,2541
,六福里,1064,750089,10639,5051,639991,20771,4570,1705,568,60433,572,4871,0,916,497242,607339,695
,集賢里,988,633973,12980,6497,534464,17318,13130,1289,557,42114,23,3540,6,2055,406940,506448,553
,民義里,911,728820,13658,3957,547785,26186,16447,2758,581,110691,71,5082,0,1603,433216,614251,341
,成泰里,1743,1368639,31349,26857,1044953,41769,21065,7954,1821,169231,0,15727,203,7712,823692,1147394,1280
,水碓里,2219,1754824,45041,16572,1308140,71122,28067,6576,1523,253369,450,17519,38,6407,1020183,1466874,1545
,福德里,865,630052,9007,7417,539064,14689,6218,1349,519,46075,36,4133,0,1543,423072,514059,661
,其　他,1,1201,0,0,1185,0,0,0,9,1,0,7,0,0,994,1011,0
,合　計,21364,18097145,333887,182404,12238935,634390,380940,55517,15174,4049547,3532,149504,2674,50641,9539546,15399153,15255
蘆洲區,樓厝里,1813,1504713,21695,23037,1166136,56909,37307,6685,1331,173681,328,10830,754,6021,943218,1281674,2469
,保和里,739,540668,13409,11313,393420,24665,16917,4271,643,69796,33,2470,21,3710,306916,454164,699
,得勝里,916,794997,24223,9681,487617,35160,38050,2538,636,181149,33,4071,0,11839,385161,692541,416
,仁復里,574,490548,9435,13459,351745,26017,18812,1962,412,64310,0,3958,0,438,286504,425307,405
,溪墘里,914,673331,8590,3750,532824,32734,16444,2059,575,70088,0,4045,79,2143,422125,562632,815
,中路里,1152,814047,13890,7893,650270,34872,17845,2519,745,76617,0,8060,0,1335,505991,669768,460
,正義里,3593,4195245,76353,76394,3032413,146264,113198,22287,5576,644971,696,51090,668,25336,2537220,3700030,4102
,水湳里,2960,2593623,48909,22813,2009061,100252,46364,7745,3245,317322,111,25864,588,11349,1624366,2208928,1797
,保佑里,1037,746013,14070,9656,598224,23603,15660,1725,947,75564,0,4506,73,1986,469804,617593,953
,樹德里,958,963589,22636,5273,595568,23899,19724,1453,1409,284352,0,7766,265,1243,475207,843148,1172
,中原里,1530,1207249,33260,14157,953871,43570,30615,4171,1233,112668,227,8399,0,5077,762038,1015416,1142
,恆德里,1810,1553326,23204,18734,1233766,60622,43505,3980,1708,130049,30,20020,0,17708,1008547,1328107,556
,光華里,1425,1129535,18925,9297,903959,49257,16349,3799,1073,117183,51,8101,131,1411,725543,950997,739
,鷺江里,1545,1468783,39291,12134,1035426,60844,46258,11179,1063,217934,36,15366,504,28748,839421,1272274,1947
,南港里,1536,1130791,21665,10136,932893,45331,12565,4277,1320,92367,81,6821,297,3038,733441,931788,1459
,永樂里,1665,1334911,21890,19977,1050235,44010,17915,2682,1013,161052,1253,11960,558,2366,834479,1119068,1999
,永康里,1895,1449710,40575,17562,1180149,39914,15165,3523,1580,133569,256,14887,0,2530,927936,1197213,493
,信義里,1155,773451,26329,12026,619509,24632,17039,1505,1704,61730,25,6560,394,1999,478528,632491,994
,玉清里,1681,1506988,28134,26253,1175833,49770,28530,5401,1192,169098,492,12334,686,9263,958878,1290033,2547
,復興里,978,655462,17783,8120,545241,16849,11116,1034,572,49554,302,4139,106,645,421383,532274,614
,水河里,2526,1915860,38600,17473,1601200,60253,42642,5204,2187,128532,1604,12718,378,5069,1266964,1582208,1407
,仁愛里,1491,1142278,25662,15116,908752,43983,16794,2138,1912,117553,52,7895,352,2070,721719,955020,1489
,忠義里,862,629706,14208,10321,503541,26573,15161,2295,650,50090,0,4126,0,2741,394171,520335,133
,九芎里,1444,1026539,23624,14239,840362,32664,12522,2722,1037,87586,13,7762,441,3565,655496,841612,1258
,中華里,942,722109,22008,15844,545776,35273,16327,2709,975,75716,1984,4921,55,520,432001,608327,452
,得仁里,931,662854,11498,3310,510512,22495,27103,1477,422,78913,0,6039,0,1087,396101,548444,374
,仁德里,1622,1264514,23413,11026,985789,47123,21001,2530,1244,148729,0,14796,1087,7777,783662,1062387,2265
,仁義里,1188,1025170,15364,16063,827246,36936,18301,7329,905,87559,241,13612,287,1327,679005,876775,1420
,光明里,1323,1066724,22355,17746,835851,39150,19015,3492,1189,115669,705,7337,294,3922,667809,898586,1192
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,保新里,701,466604,8806,6020,374172,19013,18672,2592,907,32179,0,1933,0,2312,291568,384000,635
,長安里,1298,942975,15578,8744,719885,35145,22733,2844,868,126917,675,7533,260,1795,558485,781575,1460
,民和里,771,542735,9911,4950,449975,17525,7651,2342,643,42559,0,3422,20,3737,354838,447597,780
,忠孝里,722,538820,7444,4402,437972,19413,5487,1266,567,48088,8,12184,183,1806,344807,446537,695
,福安里,920,705240,9242,8869,558166,33660,18299,1139,532,69151,0,4371,0,1812,442367,589441,457
,永安里,1434,1087965,24230,18416,837199,37907,17564,1988,942,134334,0,5529,52,9803,654667,905413,683
,延平里,1057,795235,18828,7792,654549,26627,12072,1444,589,67851,300,4247,0,935,513154,653947,550
,成功里,1986,1551557,28481,19491,1242063,45284,17795,3247,1819,179683,173,9415,0,4106,981630,1291331,1072
,永德里,1220,893406,15640,16685,687345,30227,13900,3075,906,111243,0,10569,259,3557,533657,739719,841
,其　他,5,2256,27,188,1730,94,0,181,5,22,0,9,0,0,1190,1716,0
,合　計,52319,42509527,859187,548363,32970241,1548515,902415,144808,46276,4905427,9709,369663,8794,196130,26319998,35860412,42942
三重區,二重里,472,285040,10659,4240,221668,12028,6258,522,226,27005,0,1627,0,806,169482,232854,26
,五谷里,607,486026,5777,5780,342684,22059,19961,1344,525,81947,0,4780,342,827,268593,411898,966
,德厚里,107,74220,1159,324,57278,2275,1478,52,60,11335,0,125,0,135,43528,60470,2
,福祉里,1780,1741242,12478,28571,1306066,67373,33596,5078,1829,255127,380,23444,46,7251,1083861,1519036,1559
,過田里,2062,1804814,16460,18357,1404303,93569,47973,5568,2321,190370,154,16257,217,9265,1154092,1554384,2054
,溪美里,2281,1801122,30662,17202,1484249,68337,33666,8159,2523,129195,1161,21586,446,3935,1197127,1513812,2116
,厚德里,1042,906399,13812,16085,736902,39340,13303,2486,1167,72505,2290,6545,99,1864,602063,771539,1012
,慈化里,703,495559,7830,9652,405641,15121,7767,1810,462,44160,41,2739,0,337,319436,409039,260
,永安里,1114,852774,15431,7980,724786,29603,6876,4111,817,50574,215,11448,116,815,586294,714281,490
,六合里,1048,720129,16734,9140,584144,29450,13378,2276,577,53022,13,8787,0,2609,461799,597784,494
,福利里,723,723575,35152,14201,541179,25873,6462,6114,597,81716,1578,8219,2204,281,448042,630392,4113
,永興里,406,340727,4397,3377,266154,14655,13125,1697,217,30638,0,5980,0,488,218801,293373,94
,清和里,1269,1213463,18150,10788,952991,48818,22000,3552,1151,133718,1224,13960,190,6920,785975,1046447,1394
,仁德里,554,400222,2859,4051,295319,16255,11513,859,268,63219,1112,4052,4,711,233685,338588,458
,開元里,409,291051,3813,3305,227363,11298,3565,569,1218,35924,0,2455,526,1017,180303,243985,1276
,大德里,247,181599,1217,8077,144421,8017,3315,487,120,13246,0,1883,0,816,116345,153523,134
,錦通里,413,250856,10318,1686,196506,10062,7751,264,320,17285,205,2700,0,3761,152230,206580,425
,光華里,582,473168,7081,7397,362504,25792,20035,819,571,41322,378,5226,115,1928,294629,405178,1139
,光榮里,418,426187,6200,6697,276704,19501,10420,775,263,99711,0,5448,0,468,227536,380279,244
,大園里,708,532641,3943,3122,443012,20083,4735,709,705,43480,135,8788,0,3928,354171,443800,236
,長生里,253,188350,1531,4159,151765,7533,3785,2352,100,13670,0,1408,112,1936,123679,160152,542
,長安里,587,435525,4952,5928,335114,17036,11917,1357,443,48345,1200,5072,4,4158,268978,369389,825
,同安里,338,199706,2860,1366,173596,7483,1434,555,224,10740,0,1150,0,298,133743,159853,277
,光明里,2264,2205909,31912,31595,1547928,100386,66122,10031,1656,384099,370,19772,2336,9704,1274782,1933045,5586
,菜寮里,575,438319,9354,5065,346285,14990,8900,1213,395,43068,0,6663,136,2251,276248,368282,802
,大同里,647,518568,3925,12708,417922,19300,17542,3628,461,38991,0,3443,0,648,343527,444173,673
,長泰里,630,414104,6740,4084,330990,15365,7474,1516,332,42229,0,1956,0,3418,255958,339072,115
,長元里,648,446979,8771,3095,379258,16133,12354,1110,565,20093,0,4296,421,883,303342,370600,896
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
