"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,福昌里,587,501758,6474,4985,401141,24261,9790,1321,327,37643,389,9355,445,5627,327762,428371,931
,泰昌里,377,294561,6068,4488,233341,15578,3645,1989,334,17269,242,5325,0,6282,189161,250527,43
,興昌里,1396,1248965,23921,25961,983506,59626,18414,3217,975,113715,1457,16580,388,1206,803755,1069215,1205
,建昌里,810,621414,8163,12206,493027,34480,19229,1775,737,40149,144,7447,0,4057,396792,525178,800
,中和里,561,487253,6746,5540,408267,17249,3578,1655,439,33563,101,8915,0,1199,334591,413577,175
,中興里,490,437477,4268,4486,367706,19722,4964,507,482,27123,17,7588,0,614,300230,370001,105
,藍田里,1769,2035903,23270,44065,1565982,69137,20194,8209,1251,260560,2257,39413,327,1239,1318763,1788685,1982
,宏毅里,805,709245,2325,7777,603555,35514,4505,1058,442,41879,1062,10432,0,697,505059,610749,207
,宏南里,587,740129,1936,6256,557610,67506,13445,7119,231,68729,0,13635,299,3363,497700,680216,1532
,宏榮里,878,882626,4318,11897,742038,43452,4768,1291,727,49717,322,21478,34,2583,625850,766437,853
,和昌里,631,490854,5313,18501,388674,32113,5742,6532,291,26209,279,5935,37,1228,314683,416876,523
,隆昌里,1047,829786,9378,33482,668247,50909,10070,7396,531,38560,460,9832,1,919,545446,706984,340
,惠楠里,794,603060,8996,16496,476628,23125,17026,743,374,49534,279,8213,0,1646,381774,508206,460
,瑞屏里,1227,986368,12823,9006,819823,43318,11809,3321,887,66471,609,16412,48,1841,662857,829402,492
,大昌里,569,393504,3315,4031,333110,21181,1784,1190,403,23311,46,4381,78,674,264607,325002,438
,裕昌里,1366,1351677,19269,38136,996922,52905,14961,3248,863,206755,844,15550,463,1763,817848,1172369,1394
,加昌里,2722,2162288,27985,30837,1823010,97460,20818,4904,2875,106502,734,35371,209,11582,1471351,1810479,2475
,仁昌里,1544,1169867,10799,15801,1023889,45946,4152,2674,1635,40009,534,21575,6,2850,825339,971318,644
,惠豐里,1576,1235046,13831,20488,1051947,43986,8548,4586,1067,69467,773,19048,0,1305,844510,1027609,718
,翠屏里,4640,3677087,45033,49292,3104914,165610,25370,22081,3304,193495,5913,57171,441,4463,2499298,3071267,3111
,久昌里,772,561882,7202,5333,485205,23361,2200,2290,345,27692,1233,6588,0,433,384528,461204,38
,盛昌里,1795,1553911,17269,17489,1295609,84461,8064,3485,2275,97048,2710,22663,0,2839,1065097,1323416,1106
,宏昌里,1012,862123,8477,26449,694640,41614,8502,2894,526,60412,800,16499,0,1309,564522,732006,602
,秀昌里,648,548674,3184,8416,452689,31531,6536,938,401,27460,998,16109,0,412,370237,466222,205
,慶昌里,1118,1021817,5107,12352,809826,71573,10511,3080,3406,85231,2092,18016,0,622,676331,888327,956
,國昌里,1042,803247,9497,14279,669766,34479,4235,3006,500,52395,149,12498,0,2446,541626,675107,329
,其　他,4,1434,0,0,1312,9,0,0,8,0,0,3,0,102,880,1002,0
,合　計,47359,39936066,537856,653023,32693752,1778040,438421,147151,37794,2880785,37417,639172,5297,87357,26610016,33851612,33215
三民區,鼎金里,1130,893301,17895,13209,680638,33800,24100,4865,693,102516,158,11734,0,3693,546440,759112,257
,鼎西里,2183,1737803,42761,36313,1372809,62816,22743,5887,2280,168678,2459,18689,277,2091,1107260,1472076,1922
,本館里,2681,2306041,49314,46427,1835284,90918,26758,7837,2429,211651,3536,22781,32,9075,1513816,1984573,2103
,寶獅里,1132,985727,22166,18683,743092,50738,12972,1725,1001,113223,6610,10625,56,4836,612462,855097,768
,灣子里,1226,1140035,17802,31840,844653,48367,21281,11394,952,144361,127,10313,38,8908,695702,991084,1110
,安東里,1038,997285,18417,26406,700803,72726,22058,2220,495,147373,301,4496,122,1867,588801,885283,1827
,安生里,480,387799,6060,13288,269479,22972,11137,840,322,59142,17,2322,0,2219,217646,335966,121
,港東里,399,352399,12525,14180,203243,19623,16739,1757,158,80835,6,1999,0,1333,167125,316281,26
,港西里,184,138316,3911,620,82858,14077,16930,899,186,15632,0,1579,0,1624,64663,120121,60
,港北里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,博愛里,381,293110,6185,11472,204403,20113,11339,647,351,33929,0,2538,0,2133,166239,255121,77
,建東里,319,227843,4443,8281,172607,12251,7919,1172,192,15351,875,2845,0,1907,138901,194137,238
,鳳南里,242,175919,3721,9051,123025,12256,4593,348,138,20437,0,1375,0,975,99524,152418,220
,鳳北里,393,277339,12012,5704,179541,21980,15425,1050,97,34552,51,4249,0,2676,144115,241921,262
,德東里,263,208696,4763,3713,142127,14626,10035,1218,122,29184,0,2363,0,545,116925,183495,176
,德西里,265,245286,14038,4815,139991,13239,8639,1548,63,60417,540,818,0,1177,113161,218530,127
,德北里,554,482771,10514,14651,352919,25250,9861,789,356,57524,1526,6997,0,2383,290727,420579,290
,川東里,343,264746,12496,4512,213685,11360,1986,1460,98,16698,402,1767,0,282,172728,223790,313
,千歲里,348,277249,1220,20807,186878,22605,6987,1452,214,33579,24,3023,0,460,152504,242875,176
,千北里,313,243921,4597,6680,182001,17933,2974,342,76,25526,9,2955,25,801,149824,211744,515
,興德里,533,505541,10088,9930,382264,30167,11909,6121,235,49937,0,3347,0,1543,324778,448055,878
,正興里,3915,3839999,54973,112039,3047327,166516,41309,16411,3390,341498,2575,38641,367,14953,2555106,3347577,4759
,十全里,489,446352,14989,16295,267821,23029,15206,844,561,104091,0,3047,0,468,215699,394229,236
,豐裕里,714,527636,10880,4116,414939,27256,5163,1073,307,57537,0,5786,87,493,333219,445915,759
,力行里,308,208490,7131,4188,153330,10501,2442,2421,281,25210,85,2688,0,211,122496,177655,196
,立誠里,212,194364,4982,10253,122634,13002,8430,892,148,30008,299,1654,29,2033,102291,174021,313
