"表166-J(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,興安里,1400,2538260,15393,16378,2053592,79622,48580,4490,3014,216409,2370,63551,160,34701,1843425,2328350,1705
,東興里,1749,2663000,17180,18404,2252590,73692,35767,11192,3968,162171,4780,70697,0,12558,2002188,2411768,985
,北興里,455,830159,4815,3076,671706,22203,14430,13821,1083,61199,79,22311,0,15437,604335,762788,70
,文化里,1210,2335078,11959,39499,1695708,89925,92875,22084,2281,297129,20073,55853,0,7691,1525944,2165046,1054
,其　他,5,3281,0,0,3090,0,0,0,1,177,0,14,0,0,2658,2849,0
,合　計,49532,72590356,698321,732636,58947975,2214874,1104293,246926,93855,6248981,87432,1797353,4140,413570,51954702,65597715,43425
湖口鄉,長嶺村,970,750057,7003,3861,655632,25319,9591,1016,1107,38681,49,7144,0,653,515907,610685,138
,中勢村,939,806522,9951,5439,655670,32838,5122,585,954,87565,122,6221,0,2055,526897,677749,75
,孝勢村,474,367372,10520,16324,278227,19552,8641,615,322,29063,0,2529,0,1579,221927,311075,59
,仁勢村,278,201142,4345,9303,143555,13990,6815,172,200,20060,30,1536,0,1136,115514,173112,242
,愛勢村,1359,1093873,20686,10886,914594,53665,14546,975,1234,62743,95,11849,62,2538,735832,915345,427
,信勢村,1761,1495255,14249,20951,1273125,53224,14689,3115,1840,83749,8104,19414,0,2795,1031002,1253650,267
,和興村,914,661345,11095,6246,576342,21541,7296,872,918,29318,20,6631,75,991,453392,538770,314
,德盛村,1545,1216435,17975,9397,1064984,36728,5132,1117,1121,64884,452,13491,365,788,844960,996672,985
,波羅村,752,595777,9158,3218,511623,15554,5633,1211,715,41352,0,6503,0,809,405888,490041,278
,鳳山村,1133,792497,17716,3341,693265,21496,8204,482,869,37966,542,6113,0,2503,536988,635917,52
,鳳凰村,1911,1379157,28497,9437,1198205,33556,24955,918,1705,61409,107,16642,189,3536,935554,1116502,758
,湖口村,928,816797,11265,7574,636268,28100,14368,1399,793,102291,116,12687,0,1936,505921,686450,134
,湖鏡村,825,661148,9378,8349,569599,25450,5135,444,991,33037,1085,7436,0,244,461620,553171,327
,湖南村,522,398433,3916,3089,351331,10757,5022,310,517,17386,0,5267,0,838,277448,324854,89
"表166-J(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,長安村,372,252836,3873,1843,213665,9587,1450,196,151,19392,0,1856,0,822,163933,203530,10
,中興村,2078,1617259,32618,13324,1415765,36307,14088,1412,1708,75904,318,23567,0,2248,1112734,1315687,366
,信義村,1110,917932,12367,12027,772154,33764,12060,809,1137,56732,0,10752,0,6130,615075,761274,149
,中正村,834,739064,15940,13443,574683,36833,22062,1425,653,57677,1379,7037,0,7932,464829,628047,133
,東興村,1445,1207220,21270,5264,1000649,31391,9270,1870,3046,120094,55,12623,170,1518,791998,998568,817
,勝利村,1428,1187544,17592,9940,954065,26887,5637,973,1734,153208,240,13755,0,3512,747052,980962,183
,其　他,3,3200,0,5,3046,0,0,0,0,0,0,14,0,134,2722,2876,0
,合　計,21581,17160861,279414,173262,14456448,566539,199717,19917,21714,1192513,12713,193068,860,44695,11467193,14174936,5802
橫山鄉,橫山村,1073,766236,8280,5270,664827,23818,5489,278,1145,45351,146,10625,0,1006,525587,627036,70
,內灣村,226,141141,3856,447,115434,8489,1899,381,54,6614,0,2039,0,1929,88922,114630,46
,新興村,484,362989,14268,1416,301017,14518,1888,497,296,25317,0,3553,0,218,240432,302403,199
,田寮村,275,207601,1976,1186,182540,7576,589,75,170,8831,0,2791,0,1866,146517,171577,7
,福興村,117,74970,1425,1528,62080,1968,557,109,59,6422,100,695,0,27,47488,60378,0
,沙坑村,259,175885,2459,1012,146840,7199,2080,248,126,13534,8,2232,148,0,114621,143776,575
,南昌村,58,50078,6,570,44657,2480,319,24,32,1841,0,147,0,0,37128,42549,9
,力行村,193,137647,1622,1546,118566,5551,2800,78,177,6210,0,1051,0,46,93751,112832,65
,大肚村,500,351460,9237,1485,298609,10788,3982,129,297,20844,755,5126,0,207,233703,286863,80
,豐鄉村,51,38991,795,589,24131,2139,1017,0,10,9167,0,937,0,206,18623,33483,1
,豐田村,91,58971,3648,126,43397,1813,524,0,53,8359,14,789,0,247,32202,47775,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3327,2365969,47573,15176,2002099,86340,21145,1818,2420,152491,1023,29985,148,5752,1578974,1943302,1050
新豐鄉,重興村,1655,1298481,24191,13113,1046653,39258,8512,1499,1556,144090,19,18054,72,1463,826448,1079510,626
,新豐村,574,364978,13515,1889,298193,8651,4156,579,266,31098,598,5370,0,662,224358,292291,230
,埔和村,847,554234,10447,6338,486869,14611,3960,472,794,23782,669,4979,375,939,372123,441785,869
,員山村,920,869511,6983,3528,701137,26217,8792,2174,900,104115,211,12248,31,3176,574442,743731,377
,後湖村,507,375254,4067,1728,315296,10943,3258,950,402,31632,51,3014,0,3913,244499,305343,18
,鳳坑村,321,228493,2810,3940,186140,7769,3499,145,279,22355,0,1471,0,85,144375,187283,45
,中崙村,1108,914032,18854,6407,776872,20655,2983,1183,1000,73158,72,10370,0,2479,612072,750494,430
,青埔村,511,365967,6326,5901,320764,12730,3672,547,469,10392,81,4251,0,835,248702,294373,38
,上坑村,491,366404,6526,2162,309066,9463,2218,116,6605,22545,2707,4737,0,260,235305,299006,32
,坡頭村,219,149814,2170,1163,127126,3934,1329,235,220,11684,0,1662,0,292,97475,120743,0
,福興村,332,255176,9292,1253,201214,6884,1827,254,160,30337,0,3352,0,602,155513,209475,39
,松林村,1748,1669311,15435,8578,1464614,52418,14475,2021,2161,79232,774,25651,0,3951,1211710,1418064,471
,瑞興村,538,403484,3828,5440,345123,9165,1665,755,750,30577,50,5775,224,131,268073,327895,719
,忠孝村,1355,1293437,22345,14675,1096840,40092,10259,3093,1615,76200,1533,19984,0,6801,895227,1091493,146
,山崎村,1500,1408705,22275,26124,1134956,50985,23780,763,1996,98232,1598,26530,138,21328,933340,1207089,889
,松柏村,1747,1764787,16534,26865,1557793,42120,8248,3405,3465,80154,656,24353,0,1195,1288685,1498324,1082
,崎頂村,931,685886,10452,4126,613232,16736,2714,556,781,28199,571,7952,0,566,483066,556498,67
,其　他,2,3303,0,0,2891,41,0,0,15,272,0,84,0,0,2567,2979,0
"表166-J(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,15306,12971255,196050,133231,10984779,372671,105347,18747,23435,898053,9589,179837,840,48676,8817979,10826375,6079
芎林鄉,華龍村,122,86653,1011,568,66480,2574,1263,45,32,14111,165,405,0,0,51415,71588,194
,五龍村,162,118789,3456,3727,90844,3775,1963,137,61,11842,219,2612,0,153,70718,98664,0
,秀湖村,341,259325,9761,596,211924,9924,1664,201,241,22344,0,2560,0,110,168391,215792,103
,永興村,117,89649,3549,1821,67919,2593,877,157,135,11132,0,1467,0,0,53589,75319,97
,石潭村,868,671091,11422,6886,545941,28493,7134,466,791,58090,11,10462,433,962,436530,561663,969
,新鳳村,433,341145,5352,2455,295322,12116,3109,502,443,17281,426,3778,0,360,235954,281777,21
,中坑村,183,138155,2715,843,116521,4742,1131,257,638,10114,0,929,0,266,90667,112302,0
,水坑村,188,142903,5121,367,114692,4214,579,154,130,13595,0,3041,0,1010,88202,117232,62
,文林村,843,744428,10546,10759,600019,34995,6516,1364,929,58713,112,18689,0,1785,491916,636352,227
,芎林村,511,417908,6741,3779,351195,21615,4697,157,446,22556,59,6347,0,316,284939,351651,64
,上山村,1432,1812884,11985,13909,1482226,60917,17501,1885,2085,142636,1534,74667,232,3309,1278011,1608544,2129
,下山村,363,361472,3596,1870,280929,15494,5379,755,295,43644,200,9258,0,51,230596,311151,242
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5563,5184402,75255,47578,4224012,201453,51814,6079,6226,426057,2726,134215,664,8323,3480929,4442035,4107
寶山鄉,新城村,342,233302,8080,1186,200072,7262,1504,425,425,11397,0,2899,0,51,152825,188077,70
,寶山村,268,309469,4695,2965,234072,12986,3077,900,470,38302,136,9106,550,2212,200573,275811,1655
,雙溪村,807,944819,10270,5499,729508,25301,14221,973,1695,73670,11691,71706,0,285,623787,839387,519
,深井村,228,153589,2268,1136,134446,4560,3226,165,174,5847,0,1691,0,77,103625,123543,0
,三峰村,293,620620,4821,9231,440583,17576,8956,2554,245,106389,315,26739,43,3168,406007,586448,703
,寶斗村,202,128565,3322,1524,109774,4869,2368,60,119,5777,0,740,0,11,85406,104197,0
,大崎村,707,1353786,8365,7504,1025664,43575,21463,3418,894,187575,13029,37312,15,4971,928289,1257730,1817
,油田村,145,104232,1997,281,76066,5053,1620,5,55,17881,0,785,0,489,58656,86822,2
,山湖村,171,230144,2842,2415,156477,8966,3717,271,104,50869,0,4219,50,215,134164,208549,470
,雙新村,929,1063603,16952,3849,880962,34551,10473,2025,978,78911,4671,28503,0,1728,753162,935817,657
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4092,5142130,63611,35590,3987623,164699,70627,10795,5160,576616,29842,183702,658,13207,3446495,4606381,5894
北埔鄉,水磜村,217,137972,5587,1421,109134,6126,2951,246,148,10460,15,1349,97,440,81654,110492,553
,南興村,371,258789,7709,3341,214246,13464,1022,265,214,14821,0,3526,0,180,167231,211774,228
,大湖村,147,110989,3519,1628,91168,3711,3404,41,124,6489,58,818,0,29,72573,92394,2
,埔尾村,791,600940,8775,5042,521745,24858,3493,1493,839,28417,58,5625,0,594,414288,493852,75
,南坑村,94,75033,1616,1214,63671,2391,288,74,160,3111,0,960,18,1530,52150,63513,297
,北埔村,351,258838,2975,3749,217505,11791,2117,751,390,16864,0,2298,269,129,174146,215477,666
,南埔村,119,83264,1680,622,73226,3286,403,296,96,2434,38,648,0,536,57186,67225,104
,大林村,252,169890,2370,1430,150502,5089,137,0,215,7679,20,2944,0,-496,117261,136649,89
,外坪村,74,53708,1043,34,36427,2070,4816,142,28,8405,0,298,0,445,28396,45677,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2416,1749425,35274,18481,1477624,72786,18630,3308,2214,98682,188,18466,383,3387,1164885,1437055,2015
