"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,墾地里,211,145517,1348,4234,112442,7271,1998,1185,87,13572,0,1631,0,1748,87651,120726,25
,北溪里,159,117366,8385,2427,92770,5009,1012,653,92,5744,0,1206,0,68,73164,97761,11
,三合里,252,189424,10080,2446,153648,5869,1098,169,62,13360,0,2364,0,327,123381,159157,12
,建國里,106,72596,1186,1522,59412,3043,515,0,34,5898,0,608,0,378,46929,60112,4
,立仁里,1210,1072632,25890,14904,829379,87829,15652,2536,599,79115,252,14863,82,1531,689308,932561,904
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,15367,12761472,359044,285155,9849753,675192,174238,21417,9347,1194864,10554,142864,1274,37771,8044740,10956358,9673
西螺鎮,振興里,323,225790,10928,1428,173936,11000,3471,114,120,22446,12,2039,0,295,135934,187788,22
,大園里,394,277812,10139,4836,227942,12884,1554,348,200,15090,0,4772,0,45,185281,235150,45
,廣福里,550,418170,8591,11536,326271,30775,3912,300,1054,31215,200,3787,0,531,267379,359278,161
,正興里,784,618389,18900,18188,445262,53323,7835,705,364,63609,13,8852,0,1338,363168,536295,208
,永安里,96,58821,2470,334,45768,4821,700,45,31,4199,0,234,0,218,36601,49654,3
,中和里,162,123492,1855,3261,88967,7517,1636,88,94,19331,15,645,0,83,72230,106755,26
,福興里,150,99252,2380,2187,71403,9755,2397,354,74,9311,24,939,0,428,58560,86411,57
,光華里,255,220456,6860,11407,151407,16939,3192,2190,161,24751,0,2272,17,1260,124406,193456,219
,新安里,225,151905,8198,759,107514,7065,1253,375,417,23545,0,2759,7,14,85108,129500,315
,新豐里,244,159750,4983,2339,120176,6706,1552,213,67,20544,0,2411,0,758,95486,135060,132
,中興里,672,508731,18005,9524,386084,39321,5854,463,400,41245,95,7493,0,246,312688,435334,201
,漢光里,1027,733947,23192,20010,564385,40281,8759,2783,1006,61234,9,10654,3,1633,451938,621497,446
,詔安里,213,156722,2715,2182,130791,10047,1131,329,72,7425,272,1496,0,261,106021,131952,125
,河南里,198,143740,5641,490,117546,6508,786,8,106,10816,0,1586,0,252,95277,121471,11
,安定里,313,237668,4068,6529,193956,9377,1127,574,423,14632,0,6848,0,133,157374,201086,76
,福田里,240,164219,8282,1272,120915,9933,2099,341,93,18591,0,2498,0,194,95556,138860,10
,吳厝里,224,130273,5716,994,107965,5276,1395,572,100,7021,0,1170,0,62,82707,105014,21
,九隆里,142,106620,4646,2109,83602,4389,972,173,284,7989,0,2169,0,288,67193,90211,22
,下湳里,130,90196,2318,220,71063,7688,215,408,73,7032,0,928,0,251,57259,76392,26
,七座里,162,103749,1505,1352,78486,5005,574,236,216,15670,0,693,0,11,60776,86038,92
,公館里,254,157763,5236,5570,124346,6220,794,51,209,9421,0,5827,0,91,95842,129260,11
,大新里,267,189775,6986,806,158039,6318,689,161,180,13609,0,2272,0,716,126608,158344,21
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,埤頭里,147,108232,3048,1524,81857,4830,2135,27,72,14016,0,722,0,0,64729,91103,18
,廣興里,180,140248,1049,1708,116360,7400,631,122,95,11263,0,1186,0,435,95031,118919,171
,東興里,189,113285,2727,934,92882,5468,839,352,37,9136,0,671,0,239,72177,92580,21
,頂湳里,160,109406,1864,1063,91594,5937,1779,68,58,6184,0,708,0,150,72775,90587,11
,鹿場里,337,210875,8743,2958,163732,9728,664,32,164,20152,0,4419,0,284,125246,172390,8
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,8038,5759284,181044,115519,4442251,344512,57944,11433,6167,509478,641,80052,26,10218,3563351,4880384,2479
土庫鎮,忠正里,234,182358,3843,7678,128234,18204,3120,45,143,20266,0,761,0,64,105725,159850,137
,順天里,241,177894,8513,4666,122436,10470,2718,98,123,23515,0,2173,0,3183,99834,155292,10
,宮北里,359,286239,7744,4761,206824,16048,3951,86,140,40015,154,2131,0,4385,165840,245255,43
,越港里,302,231365,4732,1116,187296,12021,3216,67,95,20727,0,1976,0,118,151845,195914,55
,溪邊里,214,144419,4664,4529,125281,4138,491,73,111,4507,38,587,0,0,99377,118515,4
,興新里,318,240266,7421,6999,179068,8853,3149,495,213,29647,1374,3005,0,41,141873,203071,97
,奮起里,222,154604,3819,701,134953,6195,1244,0,99,6319,0,1257,0,16,106584,126235,19
,埤腳里,241,163676,6202,3615,125944,7788,1639,252,117,16143,0,1863,0,113,99434,137165,3
,大荖里,175,137629,4988,367,114738,4691,1562,141,746,7414,0,2903,0,79,92761,116517,27
,石廟里,665,507303,13991,8548,425404,18614,2639,934,323,29831,0,6249,0,771,339596,421495,346
,東平里,372,274515,8366,4740,214963,11636,2169,292,1579,28458,0,1800,0,511,172533,232085,68
,南平里,366,247206,9429,2117,197961,7792,3554,201,161,20287,148,5037,0,520,156735,205980,29
,西平里,360,245912,9424,1872,198574,14728,1512,972,111,15578,678,2411,0,52,157421,204759,92
,北平里,199,140432,3720,1282,117943,4986,954,90,191,10198,10,1057,0,0,95181,117670,33
,後埔里,471,304611,12643,2437,252706,11293,1629,284,167,20655,0,2633,0,165,198079,249985,21
,崙內里,254,166542,2902,1433,135877,6735,2862,88,106,13717,0,1967,0,855,107159,137824,153
,新庄里,248,197229,12844,1808,126189,6362,939,228,142,46552,16,1483,0,667,99180,170221,39
,其　他,2,2054,180,0,1735,40,68,0,1,25,0,4,0,0,1411,1730,0
,合　計,5243,3804255,125427,58668,2996126,170594,37417,4346,4570,353854,2418,39295,0,11540,2390567,3199560,1176
北港鎮,東陽里,173,121483,2056,3534,91529,9179,485,66,37,13208,148,935,0,305,73478,103432,57
