"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4342,3116134,81533,43908,2630183,147752,23100,3213,2640,145750,6296,27920,27,3813,2113742,2599667,1700
新城鄉,新城村,369,273844,20218,1077,207746,13529,4960,627,376,22807,119,2076,0,310,167398,233496,140
,順安村,173,110563,5637,49,85699,4138,1383,926,145,11932,23,573,0,59,65160,90025,82
,康樂村,678,667949,31935,3312,415501,34211,6459,421,376,162522,1,2243,8683,2286,335748,588196,12909
,北埔村,1029,765130,34868,9028,625876,31344,5515,1630,684,50110,1228,3688,0,1158,495356,634609,400
,佳林村,230,170702,8348,3095,132368,7096,4798,477,52,12965,101,1384,0,17,104692,143025,36
,嘉里村,1126,960777,14536,12624,867696,29575,6150,1222,821,22722,679,4364,0,387,717041,810122,175
,嘉新村,213,132066,3965,989,119661,2072,441,163,183,3853,0,740,0,0,93866,106271,4
,大漢村,617,387952,8242,3480,321357,13396,1846,526,403,34462,121,3171,0,947,245184,311779,248
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4435,3468983,127749,33655,2775903,135361,31552,5992,3040,321374,2270,18238,8683,5164,2224444,2917524,13993
吉安鄉,仁里村,1879,1347889,38325,39108,1101905,67427,12185,3079,952,70073,2040,9795,39,2961,880706,1126690,978
,東昌村,1583,1150128,34151,21724,973359,48903,5135,2391,975,53957,28,8816,0,690,778678,955447,436
,南昌村,1168,869399,32727,17545,731625,32222,8694,2396,731,36655,440,5638,19,706,585336,723097,435
,北昌村,2394,1882674,52304,71389,1469182,126800,30605,4629,1673,98303,2161,18275,128,7225,1195787,1609273,2144
,宜昌村,1169,827007,34529,31089,660592,44337,10430,1825,497,35363,56,6673,0,1616,528578,694992,550
,太昌村,890,706437,28576,21873,558916,22251,7021,2123,492,57098,195,7154,133,605,448712,596233,1449
