"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,玉谷村,451,322237,12680,1700,270667,12468,3246,585,295,18374,0,2101,66,55,211457,263028,334
,鶴岡村,522,390243,8750,3074,330142,15597,1893,644,300,22198,64,7206,0,375,258801,318902,114
,鶴山村,457,315925,10452,2130,262695,14795,1510,115,181,19803,161,4070,0,13,203097,256327,8
,尖山村,457,347400,12199,1916,304492,11390,1072,489,298,11955,82,2982,0,526,242926,285834,145
,仁安村,361,278568,4957,2350,237371,7562,3977,785,165,18226,110,2707,19,340,189532,230717,331
,南河村,60,36035,95,1549,30925,1399,814,0,36,895,31,287,0,5,23869,28979,58
,北河村,86,51828,3556,630,39222,2913,576,81,47,4092,0,514,0,198,29219,41824,13
,館東村,753,592606,10221,9654,492159,29119,6328,496,454,35898,1328,6069,0,880,394891,495339,178
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,8873,6778496,153021,62016,5571353,272613,52122,9746,6529,545945,8666,88999,110,7376,4401594,5608724,3066
銅鑼鄉,福興村,327,228866,2607,861,195563,12040,723,381,140,14199,72,2209,18,53,153297,186598,213
,銅鑼村,1590,1119371,28837,13947,936104,62956,9826,1481,1032,51815,597,10832,432,1510,729490,912729,1172
,朝陽村,585,388361,3497,4550,340446,19615,852,130,871,14847,0,3537,0,16,263442,311357,317
,竹森村,332,243943,2526,4871,201540,7240,1134,533,210,22740,868,2166,0,115,158218,200621,95
,九湖村,340,221613,4513,2404,191611,6848,1051,261,155,6249,0,8374,0,147,147977,177979,11
,樟樹村,382,270713,3838,1400,243669,6444,2997,342,175,9377,0,2367,0,105,188870,215915,76
,興隆村,141,99568,3725,1260,80654,7430,428,0,47,4184,0,1226,0,614,62153,81068,22
,盛隆村,110,75374,760,54,66089,3560,509,0,42,3617,150,593,0,0,50581,59865,0
,新隆村,148,104920,1419,396,93319,2835,1345,54,104,3878,0,1384,0,186,73208,84809,3
,中平村,1002,705772,12926,10876,618138,24532,3438,1002,1365,25300,55,6891,0,1249,479613,567246,83
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4957,3458501,64648,40620,2967133,153499,22303,4186,4143,156206,1741,39578,450,3994,2306849,2798188,1993
三義鄉,廣盛村,1321,1012853,18816,12546,771625,51897,6006,1655,988,124115,7314,15679,0,2212,608769,850288,147
"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,双湖村,587,442131,6389,2777,384310,13191,4511,471,482,20107,39,8880,58,915,304110,361931,295
,双潭村,443,311987,7420,3589,269164,13074,2469,97,311,12739,8,2625,0,492,211681,254850,68
,勝興村,1162,793644,18331,7110,656698,25919,7023,620,1303,57831,434,17588,0,788,509705,647151,477
,西湖村,413,273272,5928,2263,236220,13403,2405,13,324,10489,0,2160,0,66,183736,220789,15
,龍騰村,102,101662,2423,407,70315,1731,1486,1,209,23012,0,1624,0,455,57450,88798,30
,鯉魚潭村,294,200205,11038,1930,158858,7735,2697,83,161,14956,0,2213,0,534,121725,163072,111
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4322,3135754,70345,30622,2547189,126949,26597,2940,3777,263250,7795,50769,58,5461,1997176,2586878,1143
西湖鄉,高埔村,181,136138,2537,601,95315,5203,782,124,232,30199,0,1144,0,0,72186,113009,0
,下埔村,170,122354,1456,758,107329,4486,736,75,108,5882,797,728,0,0,84236,99261,0
,五湖村,272,196065,2414,2098,170241,10770,1150,521,229,7102,0,1093,0,446,134380,160203,76
,四湖村,174,127743,2640,225,108169,5697,1737,172,39,7723,45,876,0,419,86376,105949,26
,三湖村,240,169129,7787,1499,138331,9603,609,191,61,9157,625,1213,0,54,106908,137707,16
,湖東村,320,218129,9993,1046,174785,11991,1105,0,169,16735,0,1902,0,402,133596,176940,7
,二湖村,174,128691,1464,1548,111185,4322,460,28,123,8380,0,1101,0,79,88573,106079,4
,龍洞村,121,85078,691,71,73897,3965,324,0,50,4986,0,1094,0,0,58012,69193,45
,金獅村,130,100462,1168,2461,85189,4777,2663,15,42,3427,0,699,0,22,68592,83866,13
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1782,1283788,30150,10308,1064441,60814,9565,1127,1054,93591,1466,9850,0,1422,832859,1052206,186
頭屋鄉,頭屋村,814,591473,9548,6655,514899,26155,4137,321,388,18628,20,9791,3,927,408834,485407,318
,象山村,629,453687,9638,7574,376637,13938,3918,254,428,30590,0,10230,0,481,294670,371735,165
,北坑村,206,121201,2691,1202,107835,3280,1515,64,78,3816,0,669,0,52,81935,95611,6
,獅潭村,575,407489,4892,2401,352031,14078,3125,943,319,23670,0,5225,0,807,274692,330151,56
,曲洞村,282,200549,4317,3472,170794,6299,2189,252,218,11056,430,1453,0,68,133673,163428,29
,飛鳳村,110,84837,3930,605,72733,2141,1394,49,112,2914,0,959,0,0,58117,70220,11
,明德村,332,232925,4261,1122,194522,11556,3566,238,181,15571,0,1891,0,17,152920,191324,16
,鳴鳳村,78,65028,3227,29,51565,776,2053,13,38,6916,0,325,0,87,41361,54825,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3026,2157190,42504,23060,1841015,78221,21897,2133,1761,113162,451,30543,3,2439,1446202,1762701,601
竹南鎮,竹南里,796,882874,14184,24289,506405,49146,23846,2086,449,245271,181,13544,0,3472,418884,795250,227
,正南里,952,828580,13189,23169,622736,38626,15411,1559,882,93587,779,7968,0,10673,507761,713604,395
,新南里,1598,1713282,26198,19249,1328534,51063,14870,5287,4021,235459,457,23930,0,4214,1105497,1490255,776
,大厝里,2057,1991141,35646,28934,1588848,86102,20846,3201,4267,192108,350,28244,238,2357,1310744,1713443,1218
,營盤里,1237,1168217,19803,12037,919138,45473,16227,3605,1010,138317,20,12387,0,199,758195,1007273,318
,龍鳳里,790,575329,9684,5243,496148,18062,2827,494,782,34744,312,6530,0,504,396625,476189,33
,山佳里,1628,1389751,25239,8970,1197690,30206,8570,1442,1535,88465,922,23880,120,2712,966197,1157652,1178
,中港里,360,304699,2493,5125,253237,11059,5459,216,309,20955,25,5346,0,476,206656,258118,88
,聖福里,1323,1262097,23167,9892,1052663,43480,10082,2099,1005,99270,647,19571,28,193,869581,1078849,363
,竹興里,1062,717664,20802,4446,632601,17048,3416,1353,1457,28845,0,6858,145,694,492058,577118,436
"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
