"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,德興里,170,109460,4205,3223,81437,4257,2144,306,56,10686,0,3060,0,86,63242,91265,4
,延和里,1296,967496,26625,22116,772948,56445,11087,1026,484,64311,599,8202,192,3462,624278,819108,869
,延正里,316,210755,5499,1952,159894,10922,2253,195,266,25388,0,4124,0,264,125085,175947,242
,延平里,656,429310,17793,6868,334492,19590,4992,1161,214,32547,115,2108,0,9431,259562,354379,136
,延山里,163,123409,2148,1003,104530,8018,1701,45,168,4732,80,551,323,111,85154,104055,776
,山崇里,401,309271,18073,7005,228467,11196,4529,103,141,36506,0,1060,0,2190,180958,261762,491
,社寮里,253,181628,5008,1463,152421,8103,1385,31,188,11065,0,1044,0,920,122684,151892,15
,中央里,254,157209,4737,2855,131439,6429,1165,156,221,9224,0,890,0,94,102008,127786,55
"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,富州里,135,80994,749,1609,70005,2618,1341,200,93,3893,0,422,0,63,54480,65469,2
,大鞍里,39,20922,1037,1083,13846,521,473,73,5,3754,0,121,0,11,10175,17252,7
,田子里,80,50127,908,378,43176,2381,130,0,283,2568,0,175,0,128,34265,41216,0
,福興里,77,48950,377,678,42902,2631,25,0,13,1697,0,545,0,84,33437,39485,0
,鯉魚里,129,69583,4775,1861,50569,2442,1243,228,29,7911,0,432,0,94,37396,56411,5
,坪頂里,62,40927,2355,61,32693,2170,17,0,39,3473,0,118,0,0,26147,34380,3
,瑞竹里,99,57153,1284,348,43496,5046,1131,0,31,5383,53,210,0,171,33789,47447,8
,桶頭里,118,64451,5176,395,46691,1738,570,677,85,8324,0,526,0,269,35047,52807,3
