"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,榮華里,2784,5136775,90463,107194,2838809,202255,160639,29577,2349,1654107,12702,37139,507,1034,2511942,4807021,8243
,豐年里,1404,1176920,9123,12304,984825,46082,23687,2935,2039,72077,1627,21846,125,250,801759,993774,1125
,林泉里,1060,1151894,107582,17993,765659,52931,23989,3789,2313,162231,1891,12543,973,0,641903,1026229,3479
,永明里,1590,1938403,12268,36776,1428594,100472,71898,15532,1885,254771,1467,14355,386,0,1230631,1740565,3900
,文林里,1497,1754145,27179,20615,1218926,91810,78843,7107,1820,275586,9196,22574,489,0,1038082,1573083,3702
,大屯里,348,586609,3632,48920,207147,14135,33113,1637,201,275151,0,2532,133,9,168323,548195,860
,湖田里,266,313274,3220,1087,154558,31603,24211,2552,200,93567,1178,858,239,0,122781,281497,763
,其　他,6,9322,1084,0,3024,75,125,0,0,4992,0,21,0,0,2352,8649,0
,合　計,80340,93895262,999248,1854885,66571731,4304738,2783548,630037,90801,15329493,185620,1103523,33749,7890,56752578,84027354,199071
信義區,松友里,2337,2424381,40197,35926,1871727,146234,47972,7024,2666,235209,2238,28222,401,6565,1584047,2136643,4291
,六藝里,1200,1160599,5503,15045,934026,60388,21228,3002,1028,105206,142,8378,0,6653,781161,1007734,800
,中興里,1289,1628855,5966,85786,1059862,92294,114481,10557,2131,215556,1761,38828,6,1626,927536,1495464,1842
,永吉里,1017,807986,14690,11254,604348,39474,59570,2361,682,66453,820,6551,13,1771,491533,695690,607
,敦厚里,1947,2239103,11889,54242,1635675,127391,67092,8923,2345,274494,12643,28068,220,16121,1411465,2014802,3339
,大道里,2190,2309799,23152,31867,1704160,133811,60330,40205,2028,272911,7422,30633,188,3095,1448347,2053899,3529
,安康里,3890,16195234,358316,219980,5007258,468184,546835,164677,4986,9204375,17135,90676,1652,111162,4557525,15741695,13076
,嘉興里,1191,1260699,25422,21893,881914,62352,37431,5502,1295,208003,3052,11334,263,2241,747992,1126691,3420
,五全里,1786,1977438,9302,25681,1367941,110543,46139,5635,1971,349518,1381,22633,1389,35305,1158367,1766171,4384
,新仁里,1293,1851237,12754,43798,1167092,109491,63539,8513,1484,402807,1132,27917,1283,11429,1016901,1700988,6015
,正和里,1710,2730423,16027,82093,1508393,156093,104006,18413,1620,768792,2782,63622,3381,5200,1330105,2551801,9418
,惠安里,2195,2210001,11391,36804,1754403,113905,38499,5149,2583,201767,698,41544,396,2861,1476680,1932194,4745
,三犁里,1941,5275970,34896,141267,2006241,175390,216330,39521,1995,2560952,558,34395,55620,8804,1785154,5063120,83531
,六合里,2488,5011675,68103,84785,2352696,175353,205147,17237,3898,2019909,4413,62524,4185,13426,2056191,4715065,13459
,泰和里,2633,2639913,15322,53278,2073606,99558,39480,8829,2926,280315,3636,56932,480,5549,1740176,2306389,4757
,西村里,1679,1796833,7469,24609,1384897,125668,20963,8914,1723,183944,5111,25278,1274,6984,1192138,1602646,5251
,興隆里,1003,9102388,29632,79215,1028177,87076,115383,10937,721,7676172,7343,37510,575,29646,925492,8998928,3631
,景新里,1858,6060059,149029,160239,2147906,181163,145579,56567,3120,3147926,3192,35604,443,29293,1937698,5792482,5264
,景聯里,1677,1931878,10271,48461,1374873,110593,73312,10561,3410,276069,3253,16562,738,3775,1179763,1736449,4661
,景勤里,1344,1343370,7839,24196,1093862,70340,30890,3097,1233,91210,197,18639,459,1409,931975,1181350,2896
,黎順里,1464,1622571,9944,31816,1229873,84518,44652,12574,1920,177055,10702,16892,705,1920,1059531,1451133,3757
,黎平里,2571,2777855,16415,47576,2122867,160880,79645,9728,2695,283229,5899,36019,971,11930,1811853,2465989,6101
,黎忠里,1631,1613053,9190,35171,1277698,84504,31899,3954,1641,149773,668,13321,764,4469,1071320,1406549,3645
,松隆里,690,570629,9423,12317,448733,28914,11648,1093,549,50891,339,5431,460,833,363632,485518,2205
,中坡里,1558,1528392,10850,23829,1124767,85400,29690,2771,1350,227183,1912,14796,834,5011,936184,1339679,3456
,永春里,1627,1486501,12487,25422,1149774,81019,49252,6151,1938,126779,2848,17998,798,12037,957307,1293998,3746
,富臺里,1571,1871993,18165,48566,1416351,90238,52880,13289,1832,198327,3559,26232,1252,1303,1228826,1684552,4222
,長春里,1299,1137137,12053,29787,908073,55326,24081,4372,1762,87464,787,11080,22,2330,749226,978281,1511
,五常里,1313,1453595,8501,29630,1010478,69960,41526,3891,1366,267218,3122,14856,1098,1949,860340,1302937,3732
,四維里,1884,2093661,11213,61885,1492285,121198,44367,7328,2060,312754,7300,26211,331,6730,1270612,1872006,3426
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,雅祥里,1715,1909690,11766,19715,1425742,92947,44314,16686,1807,256662,17828,17229,1737,3258,1220684,1704853,5449
,興雅里,2102,2348912,12040,43083,1686905,143861,114197,9754,2218,305641,2533,26032,648,2000,1448064,2109707,4671
,廣居里,2827,3695150,23733,74396,2709834,203218,107898,17594,5145,449258,29591,57383,2227,14874,2374116,3357683,10424
,中行里,2620,2413573,15984,37010,1932303,118322,58581,5161,3051,203705,5961,27544,589,5362,1603500,2084620,4990
,四育里,1906,1828081,25018,28600,1391551,107868,72838,5254,2835,161436,6373,18125,599,7584,1164313,1600844,2554
,國業里,2588,3221699,29444,76727,2302319,185264,98692,15473,3057,454557,3084,44160,1295,7624,1991883,2911121,6003
,松光里,1755,1873755,12727,30414,1368295,121161,95442,3797,1485,204766,248,30685,409,4326,1163447,1669448,3522
,大仁里,1328,1177037,8232,25048,954926,64829,18733,5597,1177,85418,1005,8864,244,2964,794087,1016072,2503
,雙和里,2486,2683650,10909,65034,2116706,130231,49590,14514,3254,252477,1615,27326,1869,10123,1808062,2374182,7708
,黎安里,467,371138,4406,13602,296543,14295,3541,7915,430,25050,248,4554,259,296,241689,316284,1237
,三張里,3138,4505500,23343,98127,2685318,231060,156857,28618,4672,1166528,28161,72748,1508,8560,2329451,4149593,8785
,其　他,156,329881,330,2558,313066,2070,4102,444,182,2845,0,4014,0,270,298596,315411,90
,合　計,75364,112471297,1153340,2140731,64323465,4922386,3288634,631580,90272,33990601,212692,1207348,91580,418667,55426968,103510664,272651
其　他,其　他,461,1307629,6502,27716,338001,28854,51321,10354,254,829633,328,12815,342,1509,286108,1255464,1502
,合　計,461,1307629,6502,27716,338001,28854,51321,10354,254,829633,328,12815,342,1509,286108,1255464,1502
