"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,黎元里,1791,1585488,9186,11906,1254573,77259,30671,4789,1795,170683,2756,16721,282,4866,1031087,1362002,2689
,法治里,1668,2274768,24609,48580,1573623,129944,65470,11470,2023,382804,8923,18485,971,7864,1385917,2085105,5257
,龍泉里,1797,2637959,19176,79207,1821892,177956,86952,6245,1980,408510,4553,17448,2685,11356,1619211,2433694,12342
,羣英里,2592,3323022,12850,71590,2489073,230767,36471,13820,2946,371576,8638,52858,2228,30205,2182585,3014298,10464
,學府里,774,940641,2406,12724,726150,85045,12607,6235,1364,68897,8601,11255,3515,1843,639138,853417,15446
,其　他,295,222082,835,3200,149120,15538,11585,3102,192,31054,0,7456,0,0,124078,192379,57
,合　計,108234,209030006,2193090,4449052,106562687,10573861,8389948,1025133,147773,71233110,657071,2203068,131998,1463214,94667089,197004629,592210
中正區,南門里,963,1764693,108056,63141,942625,110736,58077,3606,1676,393430,12179,25416,5674,40077,833720,1655696,12310
,龍興里,1253,1436371,9929,19894,1085633,75184,38824,7315,3423,175090,2428,17276,260,1114,922179,1272791,2060
,愛國里,1130,1421336,10826,30523,920448,101603,53599,3853,1336,267227,3932,24199,929,2861,792533,1293416,4397
,龍光里,1223,1729146,10610,46468,1187456,108490,63393,10959,1343,241345,19275,31491,604,7711,1041494,1582404,4564
,河堤里,1756,2164341,15466,53196,1418464,152672,62355,12383,1622,412372,6708,24052,788,4265,1222643,1968043,7022
,龍福里,2130,2881852,31227,105818,2031456,192868,152753,15564,2433,294878,2654,24682,406,27111,1777801,2614224,7613
,螢雪里,1552,1523825,10323,43633,1153599,100279,27906,5514,1247,155729,7016,15750,641,2188,972137,1342246,3608
,永昌里,1567,1328726,17652,19577,1062104,77520,20471,3910,1383,106089,2980,13449,82,3509,878097,1144742,1723
,文盛里,970,1399370,9478,44297,808444,98237,73902,4076,709,309924,3850,42222,1194,3039,705640,1296505,5522
,忠勤里,1825,1302378,15871,22730,1081840,57029,19008,3360,2727,83953,0,14136,648,1076,864988,1085526,2784
,永功里,2082,2257191,16868,48324,1686563,138301,54794,9196,2496,257673,3070,31129,418,8359,1436055,2006676,3814
,螢圃里,2028,2239340,12772,50064,1595015,169400,41126,12084,1915,292029,7282,27280,1016,29356,1364935,2009280,7654
,幸市里,1778,4987881,127053,147881,1754436,186691,192611,27670,1061,2490038,3188,18641,3181,35430,1566933,4789507,11188
,文祥里,2708,4647873,33687,108866,2825100,247562,168115,17364,3643,1176045,11388,37885,2377,15840,2510371,4332758,14143
,黎明里,1179,1782647,120291,65188,923616,86572,190041,18349,809,346500,194,23774,890,6422,798021,1652196,4065
,建國里,538,882521,20005,11667,515616,44350,93226,8717,512,170602,829,8560,203,8235,450046,816753,1394
,光復里,1309,2235002,99410,47506,873989,84256,232853,37803,2064,807990,2228,33489,776,12639,734922,2079838,3955
,東門里,1472,7999548,6976,51801,1613554,146926,71378,24836,2822,6039870,4111,31713,1377,4183,1436988,7821391,9448
,板溪里,1243,1430159,10292,28587,1027353,102163,79811,5815,1411,131846,14865,18053,1727,8236,887591,1290040,7236
,文北里,2142,5716642,32584,200359,3080504,233011,180449,21787,4044,1883295,17275,48495,5060,9779,2848235,5503041,18217
,梅花里,1308,2161378,18623,46386,1154281,119072,127688,8596,1604,611973,2409,33129,351,37266,1014303,2021400,3874
,廈安里,1400,1775766,49818,28498,1232281,93909,52989,8046,2711,274306,755,23321,1073,8061,1055783,1598693,4529
,網溪里,2144,2507596,9393,46413,1873616,175286,55318,10853,3192,303064,6364,21532,433,2131,1631949,2265934,7132
,林興里,1606,2084264,8014,27354,1498299,129628,38325,7023,1334,315277,9172,17158,636,32043,1306667,1889803,5868
,幸福里,1724,2753654,15841,104889,1554892,140888,149354,32090,1988,703967,6531,21988,8496,12731,1360814,2557207,19680
,水源里,1081,1172080,9557,19147,809623,82480,83924,3240,1470,142068,3706,12440,970,3456,696041,1057666,4823
,富水里,803,1046734,5195,11349,859870,49886,13862,2329,1346,95006,1650,4756,856,632,753878,940702,4892
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,頂東里,2316,2914245,19365,53838,1970061,197363,97418,13801,2912,503800,11986,23618,1250,18832,1709705,2653128,8760
,新營里,3103,5165916,24669,156136,3486691,295479,178738,18616,4049,848545,11984,88692,4068,48250,3095621,4771481,18477
,南福里,3498,5662127,67527,209624,3657714,343997,243093,36475,5494,958973,13971,69356,3542,52361,3225679,5229686,17827
,三愛里,3130,6385472,62986,99463,3417783,319811,240186,25196,3542,2097430,25938,58517,2461,32159,3079136,6046695,16043
,其　他,16,8106,51,15,7312,18,264,0,0,443,0,2,0,0,5692,5803,86
,合　計,52977,84768180,1010415,2012632,49110239,4461667,3155849,420424,68316,22890777,219921,886202,52388,479350,42980599,78595271,244707
萬華區,柳鄉里,1458,1081404,13149,12158,883959,46492,16610,2705,1254,92267,3750,8678,75,306,707600,905045,1250
,雙園里,1485,1474311,101310,19765,1034478,67640,38629,5298,1495,177189,12080,12007,83,4338,856223,1296023,2557
,糖󿾴里,1763,1546168,23512,24969,1150610,87230,50347,3968,1853,178444,1699,17750,2253,3533,946595,1342038,6204
,西門里,1279,1305255,20289,16105,788455,69456,230551,6493,1773,155466,1065,11620,751,3230,652751,1169441,3366
,仁德里,1725,1991902,25357,62636,1312256,117906,81601,17078,1628,331927,3954,24047,558,12954,1116700,1796199,2884
,新起里,2306,2610543,32050,61319,1582058,137547,159606,14339,3306,582525,3823,27799,137,6032,1330868,2359269,2693
,日善里,1119,938198,9383,13409,704501,52145,27257,5255,1325,96325,2908,22274,2312,1103,572105,805985,4711
,菜園里,1907,1724772,26313,25544,1261297,107744,74220,8735,2116,193030,1251,14262,367,9892,1048547,1511959,1775
,頂碩里,2316,2058576,21646,67648,1546969,108508,65044,6905,2847,207490,5073,14472,396,11579,1268934,1780453,2926
,福音里,1154,1644028,171749,17493,704202,58411,55877,4405,1928,613981,5375,7941,0,2666,574182,1514008,778
,華中里,1896,1573444,20221,15418,1265302,77144,29748,4599,1667,125826,1710,13638,172,17999,1038517,1346659,2318
,青山里,1546,1343600,24397,31750,973301,64945,68037,9442,1131,153106,1100,9649,296,6447,806231,1176394,2788
,新和里,2838,2604873,12332,33105,2093040,180409,42561,12805,3280,177228,5159,34141,1148,9666,1758150,2269755,6714
,新安里,1731,1383847,13177,22357,1109791,70925,19104,6754,1328,123626,1453,12591,403,2338,903150,1177023,3097
,富民里,1500,1266455,19966,19097,871589,74802,85207,4437,1413,170054,417,14636,387,4448,709078,1103812,2853
,富福里,1525,1616250,22284,10617,1015171,83986,73828,10063,1343,384602,1340,10301,307,2408,846621,1447734,2661
,綠堤里,1034,691613,8830,13384,582887,24963,10708,1684,670,39730,3,5561,143,3049,458980,566175,876
,忠貞里,1351,1064799,7719,14857,861495,64741,12909,2796,1376,80585,378,13188,144,4611,706240,909544,1724
,日祥里,1619,1482207,14315,22909,1191901,83840,21441,8542,1963,116313,5571,13594,144,1674,999264,1289517,2626
,忠德里,1280,1090625,22455,14543,806978,61051,33437,2387,872,134863,1445,8312,170,4113,655612,938862,1602
,孝德里,990,780126,8860,11507,624085,35040,15851,2557,1263,70184,1216,9029,0,535,504800,660842,808
,保德里,1065,1226637,8954,41697,850515,62050,36643,4509,959,203137,1855,11321,251,4746,726202,1102272,1712
,全德里,1265,1251542,11726,21538,947642,64490,33332,3747,1010,146376,7621,11975,20,2066,794307,1098203,1266
,興德里,1209,975705,22371,11928,726663,47925,23977,3717,675,126547,111,9247,0,2543,591916,840957,601
,壽德里,1603,1523688,18067,29957,1165280,86272,26334,15780,2966,147013,7776,21474,210,2559,972080,1330452,2154
,凌霄里,1046,824962,11188,16498,693744,33285,7872,3194,868,45273,507,9042,109,3382,563920,695138,1363
,和平里,1906,1452104,15120,29076,1153331,66720,31901,4098,1855,128284,2721,13324,1195,4480,927968,1226697,3763
,騰雲里,1025,1034293,8057,14979,721760,58068,13587,3747,734,198599,1096,7001,182,6484,598105,910367,1338
,榮德里,987,780940,7706,8649,634304,32865,13994,3939,759,71049,558,6250,59,807,511467,658107,1001
,福星里,1627,1594364,19743,22865,1116338,76696,89818,16233,1486,217309,728,22178,498,10472,931149,1409240,4558
,和德里,1756,1352892,18887,18492,1069196,56535,32887,5581,1864,136744,502,11000,251,954,859720,1143316,1871
,萬壽里,1118,1185244,22337,21023,645534,65223,163833,12546,763,238925,1926,7607,479,5048,537718,1077170,2976
,銘德里,1453,1219898,15285,9940,981953,60315,16481,4353,1631,112360,2486,8887,687,5520,806977,1046139,2366
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,華江里,2528,1981944,29425,29107,1531732,109417,52317,6753,3304,191799,8873,13313,716,5189,1240177,1690301,2618
,錦德里,1649,1285501,18469,13685,1019801,60079,24497,4332,1483,125945,2132,12314,296,2469,826062,1091666,1612
,新忠里,1079,962676,7548,23734,732835,78115,10255,4473,787,82239,2694,18119,420,1456,614421,844188,2199
,其　他,56,31363,777,122,25467,1080,1939,91,3,1602,0,156,124,2,20276,26172,559
,合　計,55194,49956751,854975,843879,36380418,2634061,1792239,238343,56977,6377964,102358,488695,15742,171100,29983613,43557120,89169
大同區,建泰里,1373,1573058,24207,36524,963181,72964,116606,9096,1076,323187,870,18743,154,6450,803579,1411854,2116
,建明里,1263,1476853,24134,37816,775208,68562,170598,16439,691,368514,0,10835,111,3944,643114,1344759,1886
,雙連里,3091,2940109,35527,43802,2135938,146476,115425,9904,2993,409981,803,25563,71,13627,1768610,2573458,3600
,建功里,1484,1510583,15236,14641,929556,87643,128819,6441,1011,309476,296,11308,0,6156,763815,1344842,1448
,景星里,779,598957,7092,13189,483293,24106,13783,1522,554,46704,1056,4705,0,2952,390959,506563,501
,星明里,2003,2493858,35010,39800,1424952,109085,144244,15962,1877,640485,365,66689,2212,13176,1193215,2262111,6910
,朝陽里,1529,1985679,30351,48549,1079414,86440,118523,37007,1641,531667,9665,36921,941,4560,910235,1816500,2508
,大有里,1725,1766369,34173,16483,1071325,106268,135635,7864,1014,357519,3080,28016,226,4766,880064,1574559,1107
,斯文里,1696,1741519,25631,34386,1139168,73984,67365,4039,2081,371475,5110,11729,176,6375,936635,1538863,1735
,揚雅里,1171,1393969,9020,22495,753602,50434,45155,4966,1261,494823,1250,7902,119,2942,612784,1253133,1027
,國順里,806,579487,7289,14151,464544,27121,16098,922,1005,43997,0,3360,182,815,368710,483652,645
,國慶里,1552,1687348,17578,27029,1124008,94015,82704,10478,1477,293212,15,28561,61,8210,940965,1502856,1420
,隆和里,957,931141,34125,11976,634196,61238,29695,5870,1065,140311,458,6867,1272,4069,522956,819901,3504
,南芳里,1329,1238695,16918,22487,872924,65546,50239,5505,1096,180640,1690,15096,34,6520,720471,1086213,1379
,鄰江里,2050,1734115,26328,15999,1315300,87567,51459,4304,1296,210260,404,13577,601,7021,1068919,1487734,2983
