"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,明新里,859,682036,13163,13320,486855,36760,28539,932,373,88178,1183,4869,0,7865,391386,586567,671
,立人里,1111,960509,22825,29056,705843,46483,15506,4714,1038,113848,1258,9405,137,10396,572678,827349,1001
,賴福里,1313,1583871,24075,73564,1078399,84858,26883,6564,886,261856,459,13193,2189,10946,924128,1429450,6647
,梅川里,994,1118777,14637,60064,720506,46794,17833,3695,943,235347,42,9324,87,9504,602493,1000783,1889
,錦平里,637,572362,9333,14379,364923,50060,33344,2288,1555,88736,24,3387,0,4333,302229,509547,338
,中正里,436,370400,5672,12159,271613,18408,13666,941,258,41794,0,3610,13,2264,223941,322727,814
,大湖里,497,318767,5891,9555,252738,13460,6271,718,234,22691,0,2728,821,3660,197481,263520,1452
,六合里,475,358967,5912,17992,252693,22634,14784,1194,226,38135,803,2388,0,2207,204730,311004,72
,其　他,1,534,0,0,0,17,60,0,0,457,0,0,0,0,0,534,0
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,39055,37112582,665620,1266092,25147013,2091209,979363,153447,36196,6089349,27438,314791,9024,333039,20773577,32834743,62789
西屯區,西安里,1623,2585610,26823,28000,1131683,73470,49658,5446,1383,1231096,3656,11399,1106,21888,936552,2390353,3861
,西墩里,1470,1733299,32467,58907,1044044,79605,60974,15379,1659,308791,2116,23928,1151,104280,874168,1563385,3483
,潮洋里,1585,2432471,75941,86616,1226010,101048,109230,16574,1223,753673,6270,14533,614,40739,1043480,2249942,3429
,龍潭里,224,176640,6177,1417,128369,8665,12427,211,286,17412,294,1255,0,127,101831,150103,178
,惠來里,4809,14088616,146681,475998,5014899,431916,405700,147198,4134,7109957,22531,117590,1457,210555,4456417,13525087,16693
,何安里,1793,1716399,35258,49511,1142946,88638,86386,7840,1671,248348,1955,8987,105,44754,940651,1513233,2251
,何厝里,1071,1089107,19286,24684,607635,44285,42298,2757,999,330433,402,11741,0,4587,489092,970563,912
,上石里,1713,1611259,22389,65465,1244949,64049,42867,6593,3284,137177,603,13047,64,10772,1022308,1388618,1819
,大河里,1273,1092185,20528,22488,761804,52783,53041,6175,660,161157,266,5533,126,7626,612720,943101,1185
,大石里,566,395743,6724,6356,320680,34733,2770,2079,426,18187,194,2117,0,1476,259330,334392,268
,港尾里,1537,1263479,28365,20939,953000,61177,28027,2702,1075,134322,1276,18094,126,14375,763043,1073549,1086
,廣福里,756,618526,35473,9735,422223,24738,27158,1952,339,88690,381,7133,0,705,331100,527424,108
,林厝里,1111,1602678,97107,50630,939818,62848,35872,5009,835,385027,361,14891,706,9573,799034,1461476,3917
,永安里,4056,4247103,80208,88242,3245439,145248,80983,26656,3812,496754,1214,27555,1088,49903,2724965,3725206,6973
,福安里,1018,1434237,28188,37643,847406,54825,21738,4730,1478,417606,4442,10615,96,5470,715905,1302530,1674
,協和里,1431,1725493,38838,13655,903702,51367,51092,2214,1558,646062,313,6762,477,9452,718745,1540348,3800
