"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,美福村,429,293433,12613,3925,253247,9424,1295,539,202,10634,0,1344,0,210,197212,237961,83
,大福村,415,260886,9835,3334,218279,7451,994,290,175,16030,999,2573,0,926,167536,210463,174
,新社村,218,212296,5684,1132,140370,5298,2254,241,49,56137,488,319,0,325,112709,184858,14
,忠孝村,578,385025,18186,11199,320878,13148,3484,559,344,14274,75,2439,0,439,249650,313822,219
,功勞村,309,239845,8522,1502,197750,8945,3970,902,255,12817,203,4678,0,302,156518,198613,71
,永鎮村,155,98429,6359,1785,78572,3339,586,160,85,6914,100,266,0,265,59715,79573,22
,過嶺村,316,198837,12178,2026,169566,6348,682,348,245,5805,143,1451,0,43,133320,162591,12
,美城村,508,393867,22339,6012,317987,14480,3854,1150,287,24428,181,2897,0,253,254624,330505,99
,古亭村,382,259426,12763,1761,215757,8806,4737,493,149,12539,75,2233,68,45,166795,211731,323
,古結村,275,199495,8034,1098,173075,7676,1321,990,172,6024,0,1057,0,47,137092,163512,39
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4986,3483260,155736,45499,2862261,115514,28574,7348,3665,222834,4021,29627,68,8112,2237986,2861600,1385
員山鄉,員山村,1618,1306890,41139,19538,1061179,61056,12504,2499,1125,86371,485,19149,70,1776,854129,1099840,978
,尚德村,592,427600,22400,3288,350013,19010,2978,1149,231,25809,132,2366,0,225,273359,351486,156
,內城村,337,238661,4199,1761,172010,7666,2388,77,229,48703,2,1134,0,491,128505,195156,66
,惠好村,388,281895,17507,4004,220157,15791,3923,1357,235,15646,92,2103,58,1023,171629,233367,394
,深溝村,444,497610,15310,2389,277949,26941,5277,1932,163,163957,100,2733,0,859,223426,443087,303
,蓁巷村,292,185574,9453,2882,142292,5276,1008,123,132,22993,563,727,0,126,106044,149326,105
,七賢村,328,305652,56525,3197,187179,9814,2827,896,305,42909,0,1757,47,196,144535,262960,412
,永和村,465,296419,7223,5629,244580,16514,2397,523,286,14644,206,4308,0,110,188557,240895,30
,枕山村,505,386469,8915,2888,307538,12872,4971,1145,341,45089,0,1872,22,817,246473,325727,439
,頭分村,369,237846,5754,3556,202074,11822,802,288,217,12246,0,790,0,297,154654,190833,113
,同樂村,565,352848,12002,3035,299061,14962,2779,440,408,18325,6,1534,0,296,232080,285867,92
,湖東村,213,135671,4919,718,115610,4698,491,416,111,7992,0,432,0,285,88971,109032,0
,湖西村,279,195484,8530,1098,153198,7479,2571,353,158,19126,0,2294,0,677,116624,158910,81
,逸仙村,203,163797,10492,388,125733,6806,2784,737,173,13665,13,2990,0,18,99243,137308,77
,湖北村,265,256697,13340,1371,141747,9025,1372,1049,141,87751,0,753,24,125,109156,224105,305
"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,中華村,120,87793,3038,116,58540,4088,3212,1511,41,17068,0,147,0,33,45453,74706,3
,其　他,1,58,6,0,0,0,0,0,0,51,0,0,0,0,0,58,0
,合　計,6984,5356965,240753,55856,4058858,233821,52282,14493,4296,642345,1599,45088,221,7352,3182837,4482664,3554
羅東鎮,成功里,487,373743,10230,9812,279495,31809,6876,1514,252,26442,139,3766,1,3408,227039,321287,564
,北成里,886,808487,18300,22927,642301,37652,17496,2440,726,56957,0,6850,46,2793,528722,694907,1221
